關鍵字,回應
萬里桐潛水區,注意事項：\n1. 最大深度約 22 米。\n2. 穿拖鞋的人要小心這裡都是珊瑚礁的岩石，很容易刮傷流血。
山海,注意事項：\n1. 最大深度約17米。\n2. 潛水者應該接受相應的訓練和認證，並遵守安全規定和指導。
紅柴坑,注意事項：\n1. 最大深度約 22米。\n2. 通常對於具有一定潛水經驗的潛水者較為適合。
合界,注意事項：\n1. 最大深度約 34 米。\n2. 要先經過雜草重生的小徑再到前方的咕咾石，咕咾石崎嶇不平非常的難走，注意腳下安全。\n3. 海域落差大，潛水員在下潛時應確實做好耳壓平衡，注意調整身心狀態，適合中高級潛水員從事潛水活動。\n4.有時候流急或浪大，下水務必要小心。
頂白沙,注意事項：\n1. 最大深度約 24 米。\n2. 需要有專業的潛水教練才有辦法下潛。
雷打石,注意事項：\n1. 最大深度約 18 米。\n2. 雷公石海岸遍布尖銳的珊瑚礁岩，景觀壯麗特殊，但親近海並不是那麼的容易，一定要準備膠鞋，在這裡行走也需要小心，較容易跌倒。\n3. 有時候外面的流很強，所以一定要記得帶浮球及繩子，來保護自己的安全。
後壁湖出水口,注意事項：\n1. 最大深約16米。\n2. 淺灘上佈滿很多礁石，在此地不適合玩沙，需小心行走注意安全。\n3. 潛點左側接近出水口，要小心強勁的出水水流，適合各級浮潛、潛水活動。
跳石,"注意事項：\n1. 最大深度13米。\n2. 行走要側著走螃蟹步, 不然很容易就滑倒了。"
香蕉灣,注意事項：\n1. 最大深度約12米。\n2. 因為侵蝕的關係，石頭較為銳利，上下水需要小心。\n3. 退潮的落差會非常大，所以建議大家要注意水上安全。
砂島,注意事項：\n1. 最大深度約30米。\n2. 砂島周圍可能存在一定程度的海流，特別是在海潮變化時，在進行潛水之前，建議您瞭解當地的潮汐情況並適應相應的潛水技巧，以應對可能的海流。\n3. 如果您是初學者或新手潛水者，建議在有經驗的潛水教練的帶領下進行潛水活動。
後壁湖餵魚區,注意事項：\n1. 最大深度約12米。\n2. 這裡是國家公園的特別生態保護區，所以禁止捕魚、垂釣。\n3. 請注意潛水期間的潮汐變化和可能的海流情況。
藍洞,注意事項：\n1. 最大深度約12米。\n2. 一路上是崎嶇的礁岩，建議穿著溯溪鞋或是防滑鞋。\n3. 要特別注意藍洞的漲退潮時間，如果漲潮漲到很高的時候浪會打進來，也因為藍洞是活水的地方可能會比較危險。
公館鼻後礁,注意事項：\n1. 最大深度 12.8 米。\n2. 離岸邊不遠，但高低落差極大、崎嶇難行，建議船潛會更安全好玩。\n3. 此區在東北季風盛起時，也不建議安排潛水活動。
石朗(海底郵筒＆海洋之心),注意事項：\n1. 最大深度12米。\n2. 因岩岸珊瑚礁地型容易割到腳，往海底走的同時要注意腳下，避免被絆倒。
樓門岩,注意事項：\n1. 最大深度為62米。\n2. 由於水流強勁，因此一般只有在背流區才適合進行潛水活動。
三塊石,注意事項：\n1. 最大深度約65米。\n2. 隨時注意天氣狀況，如果海象不好時，絕對不能強行下水。
大白沙潛水區,注意事項：\n1. 最大深度約65米。\n2. 隨時注意天氣狀況，如果海象不好時，絕對不能強行下水。
柚子湖,注意事項：\n1. 最大深度約40米。\n2. 路段崎嶇不平層層礁岩，一定要注意好自身的腳步，建議穿著溯溪鞋或是防滑鞋。
柴口浮潛區,注意事項：\n1. 最大深度約20米。\n2. 這邊是屬於保育區，因此禁止抓捕魚類或生物。\n3. 以珊瑚礁岩地形為主，岸邊有一些小碎石的沙灘會刺腳，需要小心。
海底郵筒,注意事項：\n1. 最大深度12米。\n2. 因岩岸珊瑚礁地型容易割到腳，往海底走的同時要注意腳下，避免被絆倒。
海洋之心,注意事項：\n1. 最大深度 12米。\n2. 因岩岸珊瑚礁地型容易割到腳，往海底走的同時要注意腳下，避免被絆倒。
花瓶岩,注意事項：\n1. 最大深度約12米。\n2. 大潮、漲退潮期間，時常有強流出現，下水必須額外謹慎小心。\n3. 注意附近有觀光船航行，不適合游太外面。
中澳,注意事項：\n1. 最大深度約26米。\n2. 綠蠵龜為我國保育類動物，每年夏季是交配、產卵期，為了能保育生態，屏東縣政府規定每年5月1日起至同年10月31日止，一般民眾及遊客自晚上8:00到隔天凌晨5點之間禁止擅入沙灘及潮間帶。
電廠,無。
厚石,注意事項：\n1. 最大深度約10米。\n2. 群礁岩較為尖銳、鋒利，需要小心小心不要被岩石刮傷。
海子口,注意事項：\n1. 若從港內下水游出，有時還是會碰上舢舨出入，也是違反法條！建議可挑浪平的時候，從港口左側的礁岩上下岸。
多仔坪,注意事項：\n1. 最大深度約20米。\n2. 因凹凸不平，有點像是小懸涯的感覺，在這邊走路要特別小心。
龍蝦洞,注意事項：\n1. 最大深度約25米。\n2. 如果是初學者，建議最好有當地的導潛帶領下水，以保證安全。\n3. 會有一些頂流，因此需要有一定的技巧和準備。
杉福,注意事項：\n1. 最大深度約16米。\n2. 這裡是海龜很重要的棲息地，請注意賞龜距離，要避免碰觸海龜或驚嚇到龜群。
