地點,地區,縣市,地址,緯度,經度,文字敘述,星級,評論數量,AI評論,評論連結,預覽圖路徑,事故發生次數
萬里桐潛水區,南部地區,屏東縣,946屏東縣恆春鎮萬里路14-1號,21.99572429,120.7065343,恆春萬里桐這裡有海底景觀豐富多元著超美的漸層式海水、清澈見底的礁石海岸、色彩繽紛且種類眾多的珊瑚礁群生物，吸引眾多潛水愛好者前來，不論是單純戲水，或者是香蕉船、衝浪等水上活動，許多內行人想要潛水，就會轉往萬里桐的海灘。,4.6,275,1.墾丁是一個浮潛的好地方。\n2.海洋生態豐富多樣。\n3.萬里桐是一個讓人放鬆的地方。,https://www.google.com/search?q=%E8%90%AC%E9%87%8C%E6%A1%90%E6%BD%9B%E6%B0%B4%E5%8D%80%0D%0A%0D%0A%E6%BD%9B%E9%BB%9E&biw=1280&bih=571&ei=qTLTZOmuGY2yoATEq7RQ&ved=0ahUKEwipp6b--c6AAxUNGYgKHcQVDQoQ4dUDCA8&uact=5&oq=%E8%90%AC%E9%87%8C%E6%A1%90%E6%BD%9B%E6%B0%B4%E5%8D%80%0D%0A%0D%0A%E6%BD%9B%E9%BB%9E&gs_lp=Egxnd3Mtd2l6LXNlcnAiGuiQrOmHjOahkOa9m-awtOWNgAoK5r2b6bueSABQAFgAcAB4AZABAJgBAKABAKoBALgBA8gBAPgBAuIDBBgAIEE&sclient=gws-wiz-serp#rlimm=16473722643402207926,img/map_img/1.jpg,3
山海,南部地區,屏東縣,946屏東縣恆春鎮山海路6號,21.98582481,120.7114139,山海潛水是一種特殊形式的潛水活動，結合了山地和海洋的元素。它讓潛水者有機會在山區湖泊或淡水中進行潛水，體驗截然不同的潛水環境。在山海潛水中，潛水者可以在山區湖泊、溪流或淡水湖中，同時欣賞到清澈湖水、岩石峽谷和山脈的美景。山海潛水通常水溫較低，視野也可能有所不同，但它為潛水者提供了一種獨特的挑戰和冒險感。,4.6,70,1.壯觀的夕陽景色。\n2.熱情好客的當地人。\n3.安靜的小漁港。,https://www.google.com/search?q=%E5%B1%B1%E6%B5%B7%E6%BC%81%E6%B8%AF&biw=1280&bih=571&ei=4jLTZIHjNt3p1e8PhJWIqA0&ved=0ahUKEwiB3NqZ-s6AAxXddPUHHYQKAtUQ4dUDCA8&uact=5&oq=%E5%B1%B1%E6%B5%B7%E6%BC%81%E6%B8%AF&gs_lp=Egxnd3Mtd2l6LXNlcnAiDOWxsea1t-a8gea4rzIFEC4YgAQyBxAAGIoFGEMyCxAuGIAEGMcBGK8BMgUQABiABDIFEAAYgAQyBBAAGB4yBBAAGB4yBBAAGB4yBBAAGB4yBBAAGB5IjwVQAFgAcAB4AZABAJgBjwGgAY8BqgEDMC4xuAEDyAEA-AEC-AEB4gMEGAAgQYgGAQ&sclient=gws-wiz-serp#rlimm=1288844035002230624,img/map_img/2.jpg,null
紅柴坑,南部地區,屏東縣,946屏東縣恆春鎮,21.97148602,120.7160298,紅柴坑位於恆春半島西海岸，海域蘊藏各式各樣的珊瑚、五顏六色的熱帶魚以及千變萬化的海底地型，景觀非常豐富，當地業者引進了海底觀光玻璃半潛艇，提供遊客盡情欣賞綺麗的海底世界，因此成為了著名的海底觀光地點。,4.6,137,1.新鮮的魚類美味可口。\n2.位於漁港口，享受迷人的夕陽景色。\n3.親民的價格，適合品嚐海鮮的好地方。,https://www.google.com/search?q=%E7%B4%85%E6%9F%B4%E5%9D%91%E6%BC%81%E6%B8%AF&biw=1280&bih=571&tbm=lcl&ei=GDPTZPLCKavh1e8P1pa5oA4&ved=0ahUKEwjyrq2z-s6AAxWrcPUHHVZLDuQQ4dUDCAk&uact=5&oq=%E7%B4%85%E6%9F%B4%E5%9D%91%E6%BC%81%E6%B8%AF&gs_lp=Eg1nd3Mtd2l6LWxvY2FsIg_ntIXmn7TlnZHmvIHmuK8yBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAESPADUABYAHAAeACQAQCYAdsCoAHbAqoBAzMtMbgBA8gBAPgBAvgBAYgGAQ&sclient=gws-wiz-local#rlfi=hd:;si:2696134240983380435，l，Cg_ntIXmn7TlnZHmvIHmuK-SAQZoYXJib3I，y，68izjUTyejo;mv:[[21.9721401，120.71631380000001]，[21.9705054，120.7152359]],img/map_img/3.jpg,1
合界,南部地區,屏東縣,946屏東縣恆春鎮,21.9560355,120.7135968,合界沿線海底地形變化大、落差明顯，形成多處大峽谷地形。海底有大量的海百合，色彩種類極多。此潛點尤以海蛇出沒著稱，潛水員應秉持與海洋生物共存共榮的態度與海中生物相處。,3.8,45,1.合界算是一個挺熱門的潛水景點。\n2.很多珊瑚礁地形可以看。\n3.停車方便，交通樞紐。,https://www.google.com/search?q=%E5%90%88%E7%95%8C&biw=1280&bih=571&ei=CDPTZKy0C5Kp-QbTkZtg&ved=0ahUKEwis2L6r-s6AAxWSVN4KHdPIBgwQ4dUDCA8&uact=5&oq=%E5%90%88%E7%95%8C&gs_lp=Egxnd3Mtd2l6LXNlcnAiBuWQiOeVjDILEC4YgAQYxwEYrwEyCxAuGIAEGMcBGK8BMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEC4YgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyGhAuGIAEGMcBGK8BGJcFGNwEGN4EGOAE2AEBSPMDUABYAHAAeAGQAQCYAZoBoAGaAaoBAzAuMbgBA8gBAPgBAvgBAeIDBBgAIEGIBgG6BgYIARABGBQ&sclient=gws-wiz-serp#rlimm=4817220534093360897,img/map_img/4.jpg,1
頂白沙,南部地區,屏東縣,946屏東縣恆春鎮,21.95396385,120.7169318,頂白沙的海底地勢比合界變化更大，而且落差也相當明顯，每個落層都約10公尺，加上在巴士海峽及臺灣海峽相會海流相當強勁跟其他潛水點比較起來危險很多。,null,null,1.珊瑚種類眾多，宛如踏進了水中森林。\n2.魚類更是繁多可以享受與魚群共游的歡樂。\n3.海流相當強勁跟其他潛水點比較起來危險很多。,https://www.potatomedia.co/post/4c662e90-3e96-4a97-a85f-70e857ca8357,img/map_img/5.jpg,null
雷打石,南部地區,屏東縣,946屏東縣恆春鎮,21.93267692,120.7461671,墾丁雷打石以其獨特的地形和豐富的海洋生物而聞名。這個潛水點的特色是巨大的岩石，經過長時間的海浪沖刷，形成了迷人的洞穴、隧道和壁柱。墾丁雷打石提供了豐富多樣的海洋生物和迷人的水下景觀，對於不同級別的潛水者都有合適的潛點。,4.5,101,1.魚群及珊瑚種類非常多樣。\n2.適合初階的潛水點。\n3.珊瑚種類多且完整。,https://www.google.com/search?q=%E9%9B%B7%E6%89%93%E7%9F%B3%0D%0A&biw=1280&bih=571&ei=RTPTZNakE8_r1e8PvIWdsAY&ved=0ahUKEwiW29HI-s6AAxXPdfUHHbxCB2YQ4dUDCA8&uact=5&oq=%E9%9B%B7%E6%89%93%E7%9F%B3%0D%0A&gs_lp=Egxnd3Mtd2l6LXNlcnAiCumbt-aJk-efswpIAFAAWABwAHgBkAEAmAEAoAEAqgEAuAEDyAEA-AEC-AEB4gMEGAAgQQ&sclient=gws-wiz-serp#lrd=0x3471b026c2fb4ceb:0x192e2c2167384a79，1，，，，,img/map_img/6.jpg,null
後壁湖出水口,南部地區,屏東縣,946屏東縣恆春鎮,21.93358018,120.7454876,後壁湖出水口是墾丁相當著名的浮潛地點，是一個自然形成的洞穴出口，被岩石圍繞著，潛水者可以從洞穴中進入海洋，探索周圍的海底景觀。由於這裡是護漁區，海域不得捕魚、下網、垂釣，所以魚群特別多，也就變成浮潛朋友喜歡來的地方。,4.8,6,1.水上活動眾多。\n2.海岸線有海蜈蚣。\n3.海上湛藍清撤。,https://www.google.com/search?q=%E6%A0%B8%E4%B8%89%E5%BB%A0%E5%87%BA%E6%B0%B4%E5%8F%A3&biw=1280&bih=571&ei=RzTTZKnLBcz3wAOj367IBQ&ved=0ahUKEwjpisfD-86AAxXMO3AKHaOvC1kQ4dUDCA8&uact=5&oq=%E6%A0%B8%E4%B8%89%E5%BB%A0%E5%87%BA%E6%B0%B4%E5%8F%A3&gs_lp=Egxnd3Mtd2l6LXNlcnAiEuaguOS4ieW7oOWHuuawtOWPozIFEAAYgAQyBBAAGB5I8QRQAFgAcAB4AJABAJgBZqABZqoBAzAuMbgBA8gBAPgBAvgBAeIDBBgAIEGIBgE&sclient=gws-wiz-serp#rlimm=12210873767894431780,img/map_img/7.jpg,2
跳石,南部地區,屏東縣,946屏東縣恆春鎮,21.95951447,120.7710636,眺石位在墾丁南灣外側，屬珊瑚礁潟湖地形，擁有繽紛美麗的各種珊瑚、眾多熱帶魚群等海洋生物，是一處豐富多元化的海洋生態環境，對於不同級別的潛水者都有適合的區域。,null,null,無,無,img/map_img/9.jpg,1
香蕉灣,南部地區,屏東縣,946屏東縣恆春鎮,21.92746937,120.8288463,香蕉灣是墾丁地區的一個小漁村，為礁砂地混合地形，地形是呈現出廣闊的珊瑚礁平台，周圍沿岸為侵蝕沖溝，海岸周邊有豐富的寄居蟹群聚、砂質屬礁礫石、珊瑚砂和粗殼砂，海底景象由海蝕礁岩形成的海溝，有大量的石珊瑚，其深度不深，非常適合自潛新手來練習、夜潛與各級潛水員從事潛水活動。,4.6,79,1.漁港內的海水清澈可見。\n2.夕陽景色令人嘆為觀止。\n3.幸運地看到海龜冒出水面。,https://www.google.com/search?q=%E9%A6%99%E8%95%89%E7%81%A3%0D%0A&biw=1280&bih=571&ei=djTTZKzZKM7t-AazuZPwAw&ved=0ahUKEwis7J7a-86AAxXONt4KHbPcBD4Q4dUDCA8&uact=5&oq=%E9%A6%99%E8%95%89%E7%81%A3%0D%0A&gs_lp=Egxnd3Mtd2l6LXNlcnAiCummmeiVieeBowpIAFAAWABwAHgBkAEAmAEAoAEAqgEAuAEDyAEA-AEC-AEB4gMEGAAgQQ&sclient=gws-wiz-serp#lrd=0x3471b26bce8741b3:0xcd242108e5c4bf67，1，，，，,img/map_img/10.jpg,3
砂島,南部地區,屏東縣,946屏東縣恆春鎮砂島路221號,21.91400435,120.8470337,位於砂島外有三十米沈船，這艘海底沈船並非人工施放，而是十多年前因為漁船觸礁擱淺，最後沈落海底，長年累月變成了海底的人工魚礁，聚集了許多大大小小種類豐富的魚群，離岸幾百公尺的距離，一定要船潛才行。10米左右的初級潛點，從觀景區就可以下去了，這裡珊瑚的覆蓋率不高、魚群較少，但是還是會有小魚成群結隊一起出現。,4.6,467,1.保護區不能進入的星砂海灘非常美麗。\n2.守規矩不進入能維持美麗的海灘。\n3.恆春半島砂質最好的海岸線值得一遠觀。,https://www.google.com/search?q=%E7%A0%82%E5%B3%B6%E7%94%9F%E6%85%8B%E4%BF%9D%E8%AD%B7%E5%8D%80&hl=zh-TW&source=hp&ei=CDXTZK_tNMb8hwP4grP4Dg&iflsig=AD69kcEAAAAAZNNDGDReHCl1StxwT6HBX0-ENKZILC_j&ved=0ahUKEwivkfqf_M6AAxVG_mEKHXjBDO8Q4dUDCAs&uact=5&oq=%E7%A0%82%E5%B3%B6%E7%94%9F%E6%85%8B%E4%BF%9D%E8%AD%B7%E5%8D%80&gs_lp=Egdnd3Mtd2l6IhXnoILls7bnlJ_mhYvkv53orbfljYAyCxAuGIAEGMcBGK8BMgUQABiABDIFEAAYgAQyBhAAGB4YDzIGEAAYBRgeSIsIUKUDWKUDcAF4AJABAJgBhQGgAYUBqgEDMC4xuAEDyAEA-AEC-AEBqAIA&sclient=gws-wiz#lrd=0x3471b27d2af24fff:0x35acf75d121da9bf，1，，，，,img/map_img/11.jpg,null
