店家名,店家名(英文),地區,縣市,地址,統一編號,民事/刑事,說明
台灣潛水企業有限公司,,南部地區,高雄市,814高雄市仁武區霞海南一街33號,79838170,民事/刑事,
蓬萊潛水,,南部地區,高雄市,802高雄市高雄市苓雅區建國一路233號,89417445,民事,
羅浮潛水中心,,南部地區,高雄市,830高雄市鳳山區立志街152號,85889317,刑事,
帶福新樂園潛水中心,,南部地區,屏東縣,946屏東縣恆春鎮恆南路2巷2弄24號,53477550,民事/刑事,
藍灣潛水訓練中心,,北部地區,新竹市,300新竹市東區明湖路400巷2-1號,"	89248455",刑事,
台灣潛水Taipei ,,北部地區,新北市,220新北市板橋區縣民大道三段187巷14號,79838170,民事/刑事,
海底玩家潛水訓練中心,,北部地區,新北市,234新北市永和區中山路一段193-1號,80013816,民事/刑事,
國傑工程企業有限公司,,北部地區,基隆市,202基隆市中正區北寧路362-1號,776690,民事,
夢想家潛水,,北部地區,桃園市,334桃園市八德區忠勇三街87號,72840284,民事,
iDiving愛潛水,,北部地區,台北市,111台北市士林區前港街8號,"	25122613",民事,
1988潛水家,,北部地區,台北市,10586台北市松山區健康路408號1樓,50788496,民事,
好野人休閒事業有限公司,,東部地區,花蓮縣,970花蓮縣花蓮市水源街79巷8號,24328547,民事,
勝宏浮潛,,外島/離島地區,台東縣,951台東縣綠島鄉漁港7號,36859842,刑事/民事,
綠島海灣會館,,外島/離島地區,台東縣,951台東縣綠島鄉漁港路10之5號,45060679,公懲,
戀戀火燒島,,外島/離島地區,台東縣,95142台東縣綠島鄉南寮1-80號,62977211,刑事/民事,
小琉球-小綠龜潛水,,外島/離島地區,屏東縣,929屏東縣琉球鄉和平路32-5號,37677497,民事/刑事,
小琉球 小丑魚浮潛,,外島/離島地區,屏東縣,929屏東縣琉球鄉中山路925號,81357726,民事/刑事,
大眾浮潛,,外島/離島地區,屏東縣,929屏東縣琉球鄉三民路277號,21980418,刑事,
