店家名,店家名(英文),地區,縣市,地址,統一編號,民事/刑事,說明
台中潛立方,,中部地區,台中市,403台中市西區公正路122號,54750578,民事,
綠夜文旅,,中部地區,台中市,403台中市西區公益路201號8樓,24838106,民事,
承億文旅 - 台中鳥日子,,中部地區,台中市,403台中市西區健行路1049號,27597690,民事/刑事,
荷米旅居 Hommie Inn,,中部地區,台中市,400台中市中區民族路206號,24607766 ,民事,
大眾浮潛,,外島/離島地區,屏東縣,929屏東縣琉球鄉三民路277號,21980418,刑事x2/民事x1,
三姐民宿,,外島/離島地區,屏東縣,929屏東縣琉球鄉信義路18-2號,40794934,刑事,
快樂小屋,,外島/離島地區,屏東縣,929屏東縣琉球鄉復興路8之16號,47920133,刑事,
晴空宿,,外島/離島地區,屏東縣,929屏東縣琉球鄉上杉路80之1號,47837297,民事,
98旅店,,外島/離島地區,屏東縣,929屏東縣琉球鄉相埔路98號,81325801,刑事,
龍洞鼻頭角潛水店,,北部地區,新北市,228新北市貢寮區龍洞街63－5號,78884702,刑事,
客旅家,,南部地區,嘉義市,600嘉義市西區中正路445、447號,81307775,刑事,
驛家旅店-EasyInn Hotel & Hostel-青年旅館,,南部地區,台南市,700台南市中西區成功路343號9樓,54080509,刑事,
福憩背包客棧-和平館,,南部地區,台南市,700台南市中西區和平街91號,40950370,刑事/民事,
奇異果快捷旅店-高雄車站店,,南部地區,高雄市,80757高雄市三民區大連街88號,16889093,刑事,
國泰旅社-背包客的窩,,南部地區,高雄市, 813高雄市左營區左營大路401巷33弄10號,83129241,刑事/民事,
Uno青年旅舍,,南部地區,高雄市,800高雄市新興區中山二路548號,54638652,刑事,
遊大俠x七桃公寓,,南部地區,高雄市,800高雄市新興區中正三路128號,24680610,民事,
天藝商旅,,南部地區,高雄市,801高雄市前金區六合二路149號,54299365,刑事/民事,
騏艦藍海灣&潛水度假村,,南部地區,屏東縣,94646屏東縣恆春鎮龍泉路63號1樓,"	54117920",民事,
星空/太空艙旅店,,南部地區,屏東縣,94646屏東縣恆春鎮龍泉路63號1樓,"	81946935",刑事,
途中花蓮青年旅舍,,東部地區,花蓮縣,970花蓮縣花蓮市富吉路48號,41464995,公懲,
悅樂旅店‧花蓮 OLAH Poshtel Hualien,,東部地區,花蓮縣,970花蓮縣花蓮市中福路122號,83628823,刑事/民事,
千禧山莊,,東部地區,花蓮縣,977花蓮縣豐濱鄉三富橋52號,18051091,刑事,
東岸民宿,,東部地區,台東縣,959台東縣東河鄉隆昌村235-8號,10126128,刑事,
綠島海灣會館,,外島/離島地區,台東縣,951台東縣綠島鄉漁港路10之5號,45060679,公懲,
戀戀火燒島,,外島/離島地區,台東縣,95142台東縣綠島鄉南寮1-80號,62977211,民事/刑事,
綠島9號精品渡假村,,外島/離島地區,台東縣,951台東縣綠島鄉漁港 3-1 號,37727736,民事,
綠島海韻民宿(安欣立潛水中心happyminimi divecenter) |自由潛水 |水肺潛水|,,外島/離島地區,台東縣,951台東縣綠島鄉210號,62998454,刑事,
一直曬太陽hostel民宿(SunnyDayHostel),,外島/離島地區,台東縣,台東縣綠島鄉公館村65號,40786060,民事/刑事,
蘭嶼 嵐羽民宿,,外島/離島地區,台東縣,952台東縣蘭嶼鄉野銀197-3號,37655085,民事,
