店家名,店家名(英),地區,縣市,地址,緯度,經度,營業時間(起),營業時間(迄),入住時間(起),入住時間(迄),退房時間(起),退房時間(迄),交通建議,周遭潛點,連結,星級,評論數量,AI評論,評論連結,預覽圖路徑
Free Pilot自由領航員潛水中心,Free Pilot,中部地區,臺中市,40350臺中市西區中興ㄧ巷6號1樓,24.14752,120.6629,14:00,20:00,null,null,null,null,開車自行前往\n大眾運輸→高鐵臺中站→365公車→步行→Free Pilot自由領航員潛水中心,墾丁、小琉球、龍洞,https://freepilot0701.wordpress.com/,5,206,1.教練團非常有耐心\n2.有多次的團練機會\n3.上課時間彈性,"https://www.google.com/search?q=Free+Pilot%E8%87%AA%E7%94%B1%E9%A0%98%E8%88%AA%E5%93%A1%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=Free+Pilot%E8%87%AA%E7%94%B1%E9%A0%98%E8%88%AA%E5%93%A1%E6%BD%9B%E6%B0%B4%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIGCAEQRRg70gEHMzkwajBqN6gCALACAA&sourceid=chrome&ie=UTF-8#lrd=0x3469152689cb84f7:0xa9beb7f2fcfad3cc,1,,,,",img/store_img/1.png
臺中意潛自由潛水freediving,OneBreathe,中部地區,臺中市,402臺中市南區工學路59巷9號,24.11647,120.66597,null,null,null,null,null,null,開車自行前往\n大眾運輸→高鐵臺中站→33公車→步行→臺中意潛自由潛水freediving,潛立方、小琉球、龍洞,http://www.onefreediving.com.tw/,5,76,1.教練有活力且照顧人\n2.教學完善，耐心細心\n3.課程體驗佳,"https://www.google.com/search?q=%E5%8F%B0%E4%B8%AD%E6%84%8F%E6%BD%9B%E8%87%AA%E7%94%B1%E6%BD%9B%E6%B0%B4+freediving&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E5%8F%B0%E4%B8%AD%E6%84%8F%E6%BD%9B%E8%87%AA%E7%94%B1%E6%BD%9B%E6%B0%B4+freediving&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBggCEEUYO9IBBzI3MWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x34693d06543611dd:0x3584475d097e978b,1,,,,",img/store_img/2.jpg
海嬉潛水店 Ocean Fun Diving Shop, Ocean Fun Diving Shop,中部地區,臺中市,40443臺中市北區原子街154號,24.14894,120.677,14:00,21:30,null,null,null,null,開車自行前往\n大眾運輸→高鐵臺中站→158公車→步行→海嬉潛水店 Ocean Fun Diving Shop,墾丁、小琉球、東北角,http://www.oceanfun.com.tw/,5,23,1.教練非常有耐心且友善\n2.學科和術科教學都非常仔細和扎實\n3.價格划算，課程扎實，教練細心,"https://www.google.com/search?q=%E6%B5%B7%E5%AC%89%E6%BD%9B%E6%B0%B4%E5%BA%97+Ocean+Fun+Diving+Shop&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E6%B5%B7%E5%AC%89%E6%BD%9B%E6%B0%B4%E5%BA%97+Ocean+Fun+Diving+Shop&gs_lcrp=EgZjaHJvbWUqBggAEEUYOzIGCAAQRRg7MgYIARAAGB4yBggCEEUYO9IBBzYzM2owajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x34693d754c97deb3:0x17c1f44197e730dc,1,,,,",img/store_img/3.jpg
一起潛水訓練中心,Together Diving Center,中部地區,臺中市,404臺中市北區崇德路一段55號B2,24.15703,120.68411,12:00,20:00,null,null,null,null,開車自行前往\n大眾運輸→高鐵臺中站→158公車→200中興幹線→步行→一起潛水訓練中心,綠島、小琉球、東北角,https://www.joindiving.com.tw/h/about?key=656715000196,5,13,1.教練和櫃檯人員非常細心和耐心\n2.課程提供詳細的解說和指導\n3.良好的教學環境和優質的服務,"https://www.google.com/search?q=%E4%B8%80%E8%B5%B7%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&oq=%E4%B8%80%E8%B5%B7%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&gs_lcrp=EgZjaHJvbWUqCggAEAAY4wIYgAQyCggAEAAY4wIYgAQyDQgBEC4YrwEYxwEYgAQyBwgCEAAYgAQyBggDEEUYO9IBBzM2OWowajmoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x34693d8667c9a067:0x332b792786a82f0c,1,,,,",img/store_img/4.jpg
臺中潛立方,DIVECUBE CITY DIVING &HOTEL,中部地區,臺中市,407臺中市西屯區安和西路69號1樓,24.17627,120.62097,null,null,15:00,null,null,12:00,開車自行前往\n大眾運輸→高鐵臺中站→161公車→步行→臺中潛立方,潛立方,https://www.divecube.com.tw/page/about/index.aspx?kind=3&lang=TW#pro1,4.2,498,1.教練耐心指導，讓學員感到放心且安全\n2.環境乾淨高級，設備品質優良\n3.潛立方提供優質的潛水課程，讓學員有值回票價的感覺,https://www.google.com/travel/search?q=%E5%8F%B0%E4%B8%AD%E6%BD%9B%E7%AB%8B%E6%96%B9&g2lb=2502548%2C2503771%2C2503781%2C4258168%2C4270442%2C4284970%2C4291517%2C4429192%2C4597339%2C4757164%2C4814050%2C4850738%2C4864715%2C4874190%2C4886480%2C4893075%2C4924070%2C4965990%2C4990494%2C72285074%2C72286089%2C72298667%2C72300991%2C72302247%2C72305577%2C72314853%2C72317059%2C72318437&hl=zh-Hant-TW&gl=tw&ssta=1&qs=CAEyFENnc0kwYS1wNVBpRmxJYTVBUkFCOAJCCwnRV4qML1AMuRgBQgsJ0VeKjC9QDLkYAQ&ap=ugEHcmV2aWV3cw&ictx=1&ved=0CAAQ5JsGahcKEwjop7LjkcyAAxUAAAAAHQAAAAAQCw&ts=CAESCAoCCAMKAggDGkcKKRInMiUweDM0NjkxNjAwMjE4NzI3ZGY6MHhiOTBjNTAyZjhjOGE1N2QxEhoSFAoHCOcPEAkYARIHCOcPEAkYAhgBMgIQAA,img/store_img/5.jpg
slowdive 漫潛,slowdive ,中部地區,臺中市,404臺中市北區美德街20號,24.15769,120.68435,13:00,21:00,null,null,null,null,開車自行前往\n大眾運輸→高鐵臺中站→100復興幹線→步行→slowdive 漫潛,潛立方、小琉球,https://www.facebook.com/slowdive952/?locale=zh_TW,4.8,32,1.服務超級好，不會強迫推銷\n2.店員熱情招呼每位客人\n3.商品介紹清楚，款式多樣，有開發票,"https://www.google.com/search?q=slowdive+%E6%BC%AB%E6%BD%9B&rlz=1C1CHBF_zh-TWTW901TW901&oq=slowdive+%E6%BC%AB%E6%BD%9B&gs_lcrp=EgZjaHJvbWUqCQgAECMYJxiKBTIJCAAQIxgnGIoFMg0IARAuGK8BGMcBGIAEMgYIAhBFGDsyBwgDEAAYgAQyBggEEEUYPNIBBzUzNGowajSoAgCwAgA&sourceid=chrome&ie=UTF-8#lrd=0x34693d13f0e61235:0xa683aa06912ca3be,1,,,,",img/store_img/6.png
新竹潛水蟲 EOT 潛水訓練中心,E O T Diver Club,北部地區,新竹縣,304新竹縣新豐鄉仁愛街55巷25號,24.87598,120.99113,13:00,22:00,null,null,null,null,開車自行前往\n大眾運輸→新竹火車站→新豐火車站→步行→新竹潛水蟲 EOT 潛水訓練中心,東北角、小琉球,https://www.divingbugeot.com/,5,22,1.小K老師非常用心指導初階到進階課程\n2.教練細心注重細節，但下海實習輕鬆很多\n3.高品質、高專業的潛水教學,"https://www.google.com/search?q=%E6%96%B0%E7%AB%B9%E6%BD%9B%E6%B0%B4%E8%9F%B2+EOT+%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBhC05--3bGSLIWMSnU4D9Mx0etteg%3A1691466212518&ei=5LnRZJ2lH6Pi1e8PxayKuAY&ved=0ahUKEwidp_zVksyAAxUjcfUHHUWWAmcQ4dUDCBA&uact=5&oq=%E6%96%B0%E7%AB%B9%E6%BD%9B%E6%B0%B4%E8%9F%B2+EOT+%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&gs_lp=Egxnd3Mtd2l6LXNlcnAiJuaWsOeruea9m-awtOifsiBFT1Qg5r2b5rC06KiT57e05Lit5b-DMgcQIxiKBRgnMgUQABiABDILEC4YgAQYxwEYrwFI3hVQlBJYlBJwAngBkAEAmAGKAaABigGqAQMwLjG4AQPIAQD4AQH4AQKoAgrCAgcQIxiwAxgnwgIKEAAYRxjWBBiwA8ICBxAjGOoCGCfiAwQYACBBiAYBkAYK&sclient=gws-wiz-serp#lrd=0x346831591a74904b:0x67554f27c4eef68c,1,,,,",img/store_img/7.jpg
Tipsy Freediving 沉醉自潛,Tipsy Freediving,北部地區,新竹縣,302新竹縣竹北市博愛街507號,24.83929,121.01062,null,null,null,null,null,null,開車自行前往\n大眾運輸→新竹火車站→竹北火車站→步行→Tipsy Freediving 沉醉自潛,東北角、小琉球,https://www.instagram.com/tipsyfreediving/,4.2,5,1.教練友善且熱情\n2.專業教學使怕水的人也能學會潛水\n3.提供免費使用裝備的便利,"https://www.google.com/search?q=Tipsy+Freediving+%E6%B2%89%E9%86%89%E8%87%AA%E6%BD%9B&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBivl-L9oTuBLxGbEPkEgl1xWXypTg%3A1691466687868&ei=v7vRZKC9NPzK2roPwoy80Ac&ved=0ahUKEwjgmNG4lMyAAxV8pVYBHUIGD3oQ4dUDCBA&uact=5&oq=Tipsy+Freediving+%E6%B2%89%E9%86%89%E8%87%AA%E6%BD%9B&gs_lp=Egxnd3Mtd2l6LXNlcnAiHVRpcHN5IEZyZWVkaXZpbmcg5rKJ6YaJ6Ieq5r2bMgsQLhiABBjHARivATIaEC4YgAQYxwEYrwEYlwUY3AQY3gQY4ATYAQFItglQ6gZY6gZwAXgBkAEAmAFnoAFnqgEDMC4xuAEDyAEA-AEB-AECqAIKwgIHECMY6gIYJ-IDBBgAIEGIBgG6BgYIARABGBQ&sclient=gws-wiz-serp#lrd=0x3468376f318d2127:0xb792d29b2ca3e7b3,1,,,,",img/store_img/8.jpg
藍灣潛水訓練中心,BLUE BAY DIVING,北部地區,新竹市,300新竹市東區明湖路400巷2-1號,24.7855,120.96713,10:00,22:00,null,null,null,null,開車自行前往\n大眾運輸→新竹火車站→73公車→步行→藍灣潛水訓練中心,東北角、小琉球,https://www.bbd.com.tw/%e9%97%9c%e6%96%bc%e8%97%8d%e7%81%a3%e6%bd%9b%e6%b0%b4/,4.7,37,1.教練一對一的訓練，非常有耐心且細節解說\n2.泳池舒服，沒有不適感\n3.地點近市區，時間彈性更大,"https://www.google.com/search?q=%E8%97%8D%E7%81%A3%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBieImWwA6ZTYVq7Aayovy-qWY-BCw%3A1691467242884&ei=6r3RZODUNYuo-QaLmKnYCQ&ved=0ahUKEwjg8aTBlsyAAxULVN4KHQtMCpsQ4dUDCBA&uact=5&oq=%E8%97%8D%E7%81%A3%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&gs_lp=Egxnd3Mtd2l6LXNlcnAiGOiXjeeBo-a9m-awtOiok-e3tOS4reW_gzIHECMYigUYJzILEC4YgAQYxwEYrwEyBRAAGIAEMgUQABiABDIFEAAYgAQyBBAAGB4yBhAAGB4YDzIaEC4YgAQYxwEYrwEYlwUY3AQY3gQY4ATYAQFIoQhQkAZYkAZwAXgBkAEAmAFWoAFWqgEBMbgBA8gBAPgBAfgBAqgCCsICBxAjGOoCGCfiAwQYACBBiAYBugYGCAEQARgU&sclient=gws-wiz-serp#lrd=0x346835f4587915f9:0x6db7f0508f3481fa,1,,,,",img/store_img/9.jpg
作伙潛水訓練中心,null,北部地區,桃園市,33850桃園市蘆竹區五福六路53號,25.07149002,121.2951032,12:00,21:00,null,null,null,null,開車自行前往\n大眾運輸>搭乘高鐵至板橋車站>搭乘板橋公車至長榮花園>步行四分鐘抵達,鼻頭角公園、龍洞灣、蚊子坑,https://divetogether.club/elements/pages/%e8%aa%8d%e8%ad%98%e4%bd%9c%e4%bc%99/,4.9,118,1.教練們細心耐心，教學詳細，讓學習者感到安心\n2.教練們有趣又友善，讓學習過程充滿愉快的氛圍\n3.潛水體驗中有許多有趣的海洋生物，讓學習者留下深刻的印象,"https://www.google.com/search?q=%E4%BD%9C%E4%BC%99%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&rlz=1C1CHBF_zh-TWTW901TW901&sxsrf=AB5stBhT9PQ-nXl_5Vjgi0_HPWLYUURNDQ%3A1691467787038&ei=C8DRZMz8AZLb-QbC8YHYAQ&ved=0ahUKEwiMruHEmMyAAxWSbd4KHcJ4ABsQ4dUDCBA&oq=%E4%BD%9C%E4%BC%99%E6%BD%9B%E6%B0%B4%E8%A8%93%E7%B7%B4%E4%B8%AD%E5%BF%83&gs_lp=Egxnd3Mtd2l6LXNlcnAiGOS9nOS8mea9m-awtOiok-e3tOS4reW_gzIFEAAYgAQyCxAuGIAEGMcBGK8BSPkYUP8OWP8OcAJ4AZABAJgBYaABYaoBATG4AQzIAQD4AQH4AQKoAgrCAgoQABhHGNYEGLADwgIHECMY6gIYJ-IDBBgAIEGIBgGQBgo&sclient=gws-wiz-serp#lrd=0x3442a11ae60e98fd:0xc4bbb653f0b1f50f,1,,,,",img/store_img/10.jpg
