店家名稱,緯度,經度,地址,背包客
全球技術潛水（嘉義店）,23.48036288,120.4249911,600嘉義市西區姜安街9號,
UFO悠浮潛水,23.47570321,120.4661293,600340嘉義市東區彌陀路238巷98弄82號,
三木子潛水選品,22.98579914,120.2018985,700台南市中西區忠義路一段40號,
Diversity freediving 潛城自由潛水訓練中心 台南站,22.99432283,120.208216,700台南市中西區中山路90號10號樓之12,
銀色快手台南潛水中心,23.01715722,120.2549304,710台南市永康區永勝街35號,
水領域潛水中心,22.9978736,120.2496608,710台南市永康區復興路33巷30號,
高手潛水,22.98229087,120.227434,701台南市東區東門路二段384號,
曼呆潛水 KOZY DIVE,22.96820478,120.1954857,702台南市南區永成路三段229號,
淨海潛水運動企業社,22.76194014,120.2632078,826高雄市梓官區信義路68巷,
浪人潛水,22.72980875,120.3333727,811高雄市楠梓區興楠路269號,
海天潛水俱樂部,22.68247184,120.2899092,813高雄市左營區埤子頭路82巷35號,
一名鯨人影像潛水中心,22.68136378,120.3031032,813高雄市左營區重光路72巷46號1樓,
台灣潛水企業有限公司,22.68096589,120.3230002,814高雄市仁武區霞海南一街33號,
解憂潛水Chill Diving,22.65362942,120.320301,807高雄市三民區大順二路680巷23號,
高雄 Blue Marine 潛水,22.64743383,120.3388769,807高雄市三民區清明街27號,
貝里斯潛水,22.64029808,120.342318,807高雄市三民區清華街1巷11號,
AGA 技術潛水中心,22.64020403,120.3421548,807高雄市三民區民本街25號,
多樂潛水,22.63833753,120.3361147,807高雄市三民區淵源街1號,
萬德福潛水有限公司,22.63058605,120.3109683,80054高雄市新興區中正三路5號10號樓之4,
日大潛水RIDA Diving,22.62791934,120.3095693,800高雄市新興區民生一路164號,
Solidblue?藍潛水工作室,22.61198159,120.3009903,802高雄市苓雅區新光路62巷17號樓之一,
高雄自由潛水中心,22.61442777,120.3163281,806高雄市前鎮區梧州街30巷21號,
蓬萊潛水,22.63322415,120.3221532,802高雄市高雄市苓雅區建國一路233號,
羅浮潛水中心,22.62268971,120.3563821,830高雄市鳳山區立志街152號,
高峰潛水,22.63970603,120.3923303,831高雄市大寮區民泰街92號,
海峰登山潛水社,22.56963004,120.3607688,812高雄市小港區宏平路311號,
innocean 在海裡 潛水旅宿,22.46588337,120.4522516,929屏東縣東港鎮中山路6號4號,
山潛水工作室Sapai scuba diving studio,22.10018513,120.7475009,945屏東縣牡丹鄉大梅路1-15號,
高峰潛水訓練中心,22.05660312,120.7267811,94450屏東縣車城鄉龍井路1-8號,
Freeisland 自由島嶼,22.04030989,120.6980411,944屏東縣車城鄉後灣路77之9號,
樂芙海洋,22.03856075,120.6944154,944013屏東縣車城鄉後灣路181-1號,
恆茄-自由潛水背包客棧,22.0388671,120.7154093,946屏東縣恆春鎮茄苳路萬泉巷63號,
O.H海歸潛水,22.02591632,120.7372004,946屏東縣恆春鎮仁壽路141-15號,
Lidaodive麗島潛水-墾丁,22.02138271,120.7439271,946屏東縣恆春鎮省北路390號,
墾丁GO Diving趣潛水&寧靜的家3館,22.01903734,120.7384539,946屏東縣恆春鎮大埔路16-50號,
Tec Only Kenting Diving Center,22.00912078,120.7258452,946屏東縣恆春鎮興北路中興巷72號,
墾丁自由潛水 Freedive Kenting,21.99788808,120.7276139,946屏東縣恆春鎮德和路160巷1弄19號,
海水正藍Ocean Blueming,22.01004812,120.7351981,946屏東縣恆春鎮草埔路57巷５之１號,
藍色海洋潛水訓練中心,22.00892873,120.7404355,946屏東縣恆春鎮恆公路967號,
酷達潛水中心 Kuta Dive,22.00866184,120.7403649,946屏東縣恆春鎮恆公路965號,
有潛生活 潛水訓練中心,22.00988024,120.7425523,946屏東縣恆春鎮恆公路1012巷二弄1號,
墾丁海世界潛水 OceanWorld Diving Center,22.00989268,120.7425644,94645屏東縣恆春鎮省北路1巷3弄26號,
墾丁環礁潛水中心,22.00747802,120.7424046,946屏東縣恆春鎮鎮復興路112巷48號,
Okeano Free Dive漁生自由潛水教室3.0,22.00688662,120.7445134,946屏東縣恆春鎮中正路232巷43號,
簡單潛水,22.01025723,120.7492454,946屏東縣恆春鎮恆北路86-17號,
潛藍Liyal,22.00913923,120.7501964,946010屏東縣恆春鎮恆北路88號之18,
嶼海tu?-h?i,22.00880423,120.7461876,946屏東縣恆春鎮中正路232巷147弄26號,V
Divingmind潛意識恆春分部,22.00945487,120.7450703,946屏東縣恆春鎮環城北路217之2號,V
悠樂趣潛水俱樂部,22.00616225,120.7430348,946屏東縣恆春鎮西門路25號,V
奇怪教練自由潛水教室 Weirdo Freediving,22.00592754,120.7427499,946屏東縣恆春鎮西門路23巷9號,
SEACHANGER正式自由,22.00982115,120.7493381,946屏東縣恆春鎮恆北路86號-13號,V
墾丁．就是要潛水,22.00577478,120.7480574,946屏東縣恆春鎮北門路42巷21弄5號,V
醉初自由潛水,22.00499913,120.7480542,946屏東縣恆春鎮北門路42巷21弄3號,
潛水部落 D Dive Center,22.00413634,120.7515993,946屏東縣恆春鎮山腳路100-1號,V
浪影 surfilms 背包旅宿,22.00436404,120.7467812,946屏東縣恆春鎮北門路39巷9號,V
暖洋潛水旅宿 Wonder Ocean Dive Hostel,22.00202293,120.7442026,946屏東縣恆春鎮光明路48巷8號,V
「墾丁美人魚學校」GirlDive-Mermaid,22.00125827,120.7410314,946屏東縣恆春鎮恆西路33巷42號,
海島瘋３號店－薄荷小日子旅宿Days In Bohol,22.00113863,120.7400964,946屏東縣恆春鎮恆公路676號,V
鯊墾丁潛水旅店 Sharkenting Dive Center,22.00000012,120.7422788,946屏東縣恆春鎮恆西路33巷123弄5號,V
魚人族自由潛水Fishman,21.99891137,120.7413861,946屏東縣恆春鎮恆公路372-1號,
墾丁Go Diving 趣潛水恒春背包客棧,22.00034986,120.7445199,94641屏東縣恆春鎮恒南路231號,
貓魚小窩,21.99922369,120.7459094,946屏東縣恆春鎮環城南路135巷5號,V
半島海人,21.99846267,120.7539119,946屏東縣恆春鎮山腳路39之16號,
帶福新樂園潛水中心,21.99487597,120.7465153,946屏東縣恆春鎮恆南路2巷2弄24號,
綠豆人國際潛水中心,21.99622177,120.7431783,946屏東縣恆春鎮恆公路156號,
OneDay Freediving 找一天自由潛水工作室,21.99626744,120.7446956,946屏東縣恆春鎮恆南路117巷11弄3號,
珊瑚生活coral’s life,21.99603546,120.7436974,946屏東縣恆春鎮恆南路117巷47號,
深藍實驗室 Dark Blue Lab,21.99550279,120.7446868,946屏東縣恆春鎮恆南路117巷64號,
水采田潛水酒吧民宿,21.99779368,120.7468114,946屏東縣恆春鎮福城街66號,V
BENEATH Dive Club 水下俱樂部,21.99037159,120.7482602,946屏東縣恆春鎮恒南路12巷6號,
墾丁自由潛水 Freedive Kenting,21.99789218,120.7276212,946屏東縣恆春鎮德和路160巷1弄19號,
恆春海豚潛水,21.99732811,120.7310266,946屏東縣恆春鎮糠林南路460號,
海洋白日夢自由潛水,21.99349902,120.7322611,946屏東縣恆春鎮糠林南路250-1號,
海私塾潛水中心,21.99020313,120.7330729,946屏東縣恆春鎮糠林南路56巷35弄9號,
Hi Manta 自由潛水,21.99174488,120.7470005,946屏東縣恆春鎮恒南路29之2號,
騏艦藍海灣&潛水度假村,21.98774393,120.7370634,94646屏東縣恆春鎮龍泉路63號1樓,V
潛水萬歲 Diving Forever,21.98574429,120.7308161,946屏東縣恆春鎮龍泉路112巷3號,
penny愛潛水,21.99682135,120.7054134,946屏東縣恆春鎮萬里路7-3號,
水到魚行浮潛館,21.99634275,120.7048871,946屏東縣恆春鎮萬里路24-6號,
萬里桐浮潛中心,21.99576608,120.7067502,946屏東縣恆春鎮萬里路14-3號,
山海潛水,21.98442149,120.7136481,946屏東縣恆春鎮山海里山海路78-7號,
海潮潛水 Tide Dive,21.98450507,120.7289448,946屏東縣恆春鎮龍泉路188號,
深度潛水Deep Dive Center?,21.98189973,120.7290439,946屏東縣恆春鎮龍泉路246巷6號,V
二級頭潛水站,21.97464029,120.7315014,946屏東縣恆春鎮檳榔路2-3號,
Hi D-Diving海底潛水,21.96837421,120.7330734,946屏東縣恆春鎮西潭路83巷3號,
羅浮國際潛水中心DIWA教練課程發展中心,21.95660543,120.7292435,946屏東縣恆春鎮砂尾路75號,
PsychoDive自由潛水店,21.95154037,120.7220299,946屏東縣恆春鎮樹林路49-2號,
必見水潛水 Pink House Diving,21.94992477,120.7220938,946屏東縣恆春鎮樹林路42之1號,
心海潛水中心 & SUP,21.95903945,120.7395129,946005屏東縣恆春鎮砂尾路32-1號,
TIAMAT? Diving Club × 苦水輕旅,21.95819405,120.7381062,94645屏東縣恆春鎮砂尾路26號,V
