店家名,緯度,經度,地址,
PADI Diving Center/花蓮潛水協會/花蓮救生協會-會址,23.99659689,121.6009852,970花蓮縣花蓮市富裕二街169號,
浪潛水旅行Wave Dive Trips/潛水/SUP立槳/溯溪/原住民文化生活體驗/戶外運動,23.48273167,121.5094543,977花蓮縣豐濱鄉港口石梯坪33 號,
和平潛水,23.97345173,121.6036568,970花蓮縣花蓮市和平路341號,
好野人休閒事業有限公司,23.98564623,121.6175560,970花蓮縣花蓮市水源街79巷8號,
東河潛水,22.96987012,121.3035186,959台東縣東河鄉東河村13鄰364號,
海灣潛水 Bay Dive,22.66116764,121.4743589,951台東縣綠島鄉漁港10-3號,
綠島熱浪潛水中心,22.67430547,121.4774551,951台東縣綠島鄉216之1號,
綠島庫達潛水社,22.67304707,121.4727135,951台東縣綠島鄉中寮村52-1號,
好朋友潛水中心,22.67698636,121.4835819,951台東縣綠島鄉公館村柴口62-26號,
火燒島潛水度假中心,22.67298294,121.4682027,951台東縣綠島鄉南寮村239-1號,
台灣潛水 綠島店 Green Island Dive,22.67693404,121.4873417,951台東縣綠島鄉一零三之一號,
浪漫潛水,22.67747477,121.4853451,95142台東縣綠島鄉951柴口168號,
藍洋潛水訓練中心 Blue Ocean SCUBA Center,22.05835564,121.5095708,952台東縣蘭嶼鄉295之2號,
綠島海角樂園水上活動中心,22.66578038,121.4711460,"南寮村39號, 綠島鄉台東縣951",
聯慶愛潛水 Green Island Scuba Diving,22.65769772,121.4753426,951台東縣綠島鄉漁港 路2-6 號,
私家潛水旅宿,22.67402253,121.4783265,951台東縣綠島鄉公館村公館村柴口26-2號,v
綠島極光潛水,22.67443586,121.4791760,951台東縣綠島鄉39號,
愛潛客潛水社,22.67421072,121.4744721,951台東縣綠島鄉227-1號,
海子・Ocean Rover 綠島潛水旅宿,22.67685576,121.4875775,951台東縣綠島鄉柴口105-1號,v
"Oceanian 綠島自由潛水背包客棧 Green island,Taiwan",22.67705704,121.4862079,"No.79-1, Chaikou, 綠島鄉台東縣",v
海洋之星潛水俱樂部,22.66536167,121.4716207,951台東縣綠島鄉18-1號,
潛。無極 Moji Dive,22.66487605,121.4713633,"Fishing Harbour, 50, Nanliao, No. 50號, 南寮漁港, 綠島鄉台東縣951",
綠島潛水出租店,22.66339712,121.4726111,951台東縣綠島鄉漁港26號之1號,
島潛。Islands Dive,22.66216338,121.4734545,"No. 15-6號, 漁港路, 綠島鄉台東縣951",
綠島飛魚潛水,22.65780014,121.4755933,951台東縣綠島鄉渔港路1-2號,
Goods dive,22.67112564,121.4731656,951台東縣綠島鄉52之51,
水青潛水旅宿,22.66256666,121.4734194,951台東縣綠島鄉漁港16-2號,v
Diving.come,22.65512605,121.4750758,951台東縣綠島鄉漁港1-60號,
夏潛趣潛水中心,22.67433420,121.4702112,951台東縣綠島鄉中寮35-1號,
安全停留潛水中心,22.65955399,121.4753885,951台東縣綠島鄉環島公路15-3號,
綠島-潛很大 Dive La Vie,22.67279072,121.4717638,"台東縣綠島鄉中寮村, Taitung, Taiwan",
綠島 樂潛殿,22.65721508,121.4752099,951台東縣綠島鄉漁港2之7號,
五米的藍潛水工作室,22.67734600,121.4861092,951台東縣綠島鄉柴口170-2號,
綠島野蠻紮實潛水社,22.67683566,121.4892855,951303台東縣綠島鄉公舘1之10號,
綠島-飛航模室潛水旅宿 Green lsland Airplane mode Hostel,22.67152587,121.4675795,951台東縣綠島鄉南寮205-1號,v
綠島 海遇潛水,22.67423340,121.4746542,951台東縣綠島鄉221號,
勝宏浮潛,22.66086106,121.4746683,951台東縣綠島鄉漁港7號,
Hao想潛水,22.67723646,121.4888554,951台東縣綠島鄉188～3號,
Koh ocean · 嶼海 綠島自由潛水旅宿,22.67561686,121.4903798,951台東縣綠島鄉16號,v
綠島海灣會館,22.66106982,121.4744906,951台東縣綠島鄉漁港路10之5號,v
洄遊潛水Migration Diving,22.64750760,121.4988100,951台東縣綠島鄉環島公路,
綠島微風潛水度假中心,22.65534350,121.4752009,台東縣綠島南寮村漁港1-58號號,v
佈拉咖潛旅,22.67321550,121.4732324,951台東縣綠島鄉中寮54-3號,v
綠島玉米-潛水住宿Diveholix Homestay,22.66522420,121.4715971,951台東縣綠島鄉南寮17號,v
海島旅人 Diving Hostel ,22.66125749,121.4743447,951台東縣綠島鄉漁港路11號,v
綠島快樂潛水民宿,22.66496176,121.471285,95141台東縣綠島鄉南寮村一鄰南寮19號,v
月光城堡潛水中心(Mooncastle Dive Center),22.65648565,121.4752591,951台東縣綠島鄉漁港121號,
過日子民宿&綠島阿禧潛水俱樂部,22.67466231,121.4805882,951台東縣綠島鄉柴口55-1號,v
CoolDiving Hostel｜背包輕旅｜潛水課程｜活動行程｜,22.67300170,121.4726940,951台東縣綠島鄉中寮52-2號,v
海街日記-OCEAN DIARY 綠島潛水旅宿,22.67537265,121.4909621,951台東縣綠島鄉公館50號,v
植海的人 Seed of the Ocean,22.67540610,121.4905545,95142台東縣綠島鄉,
藏水綠島館Hide and Sea,22.65695510,121.4755155,951台東縣綠島鄉南寮漁港2-9號,v
戀戀火燒島,22.65413323,121.4749565,95142台東縣綠島鄉南寮1-80號,
走走 zou l zou,22.67431720,121.4709618,951台東縣綠島鄉中寮55號,
海人生 C'est la vie 綠島海景民宿,22.67461543,121.4792236,951台東縣綠島鄉柴口33號,v
水面休息潛水員旅宿,22.67617812,121.4902052,95141台東縣綠島鄉三鄰3-1號,v
炫富·綠島 租車x潛水x套裝旅遊行程,22.65675008,121.4755061,951台東縣綠島鄉漁港116號,
柒七潛水旅店,22.67533601,121.4702286,951台東縣綠島鄉121號,v
島人嶼海,22.67673505,121.4884079,951台東縣綠島鄉 2 鄰 113 號,
綠島9號精品渡假村,22.65958311,121.4760671,951台東縣綠島鄉漁港 3-1 號,v
高氧旅宿,22.66733835,121.4696905,951台東縣綠島鄉南寮142號,v
愛上綠島民宿,22.66438690,121.4718210,951台東縣綠島鄉漁港路39號,v
綠島居福潛水,22.67499387,121.4925510,951台東縣綠島鄉78-3號,
綠島海猴子潛水Green Island Sea Monkey Diving,22.67510906,121.4917912,951台東縣綠島鄉51號,
綠島啤 酒魚潛水中心,22.67397010,121.4926692,951台東縣綠島鄉公館99號,
綠島海韻民宿(安欣立潛水中心happyminimi divecenter) |自由潛水 |水肺潛水|,22.66997022,121.4682604,951台東縣綠島鄉210號,v
BLUE SAFARI DIVING CENTER 藍莎潛水中心（PADI五星級教練發展潛水中心）,22.67490330,121.4917939,951台東縣綠島鄉72號,
綠島怪獸潛水,22.64567481,121.4983325,951台東縣綠島鄉溫泉66號,
夏咖SHAKA D.C.潛水中心 Shaka.Aloha（SSI潛水中心）,22.67455506,121.4920394,951台東縣綠島鄉公舘路82號,
綠島涵館TUBE18,22.64711862,121.4760167,951台東縣綠島鄉南寮村龜灣32-1號,v
綠棕海租車浮潛社,22.66203235,121.4733911,951台東縣綠島鄉漁港路15-3號,
綠島諾亞民宿,22.67447076,121.4802856,台東縣綠島鄉柴口50之6號　,v
蘭嶼 蘭底潛水,22.02434932,121.5550809,952台東縣蘭嶼鄉台東縣蘭嶼鄉紅頭村13號,
藍海屋潛水渡假村,22.02350767,121.5585915,952台東縣蘭嶼鄉1-8號,v
蘭嶼潛規則工作室,22.05861142,121.5659626,"三十三號早餐對面, 蘭嶼鄉台東縣952",
蘭嶼東龍潛水Tung Lung Diving INN,22.02092356,121.5604095,952台東縣蘭嶼鄉紅頭村1之10號,
蘭嶼路易浮潛&SUP,22.07844834,121.5252715,952台東縣蘭嶼鄉朗島村235-1號,
Tec Only 潛水中心,22.07924579,121.5291356,952台東縣蘭嶼鄉朗島村6-2號,
蘭嶼 飛魚浮潛,22.02647510,121.5411409,95241台東縣蘭嶼鄉漁人部落143號952,
Hertz freediving 自由潛水學校（蘭嶼）,22.02315218,121.5589696,952台東縣蘭嶼鄉1-19號,
Ownmind自由潛水工作室,22.05815680,121.5654561,952台東縣蘭嶼鄉12-2號,
Azul Apnea Freediving 朗。自由潛水,22.07919108,121.5291291,952台東縣蘭嶼鄉朗島村6-1號1樓,
暖暖浮潛,22.03823974,121.5669555,95242台東縣蘭嶼鄉82號,
Unlockdive 解鎖自由潛水工作室,22.05056966,121.5126536,952台東縣蘭嶼鄉122號,
蘭嶼小馬浮潛工作室/SUP立槳&浮潛體驗,22.03902990,121.5668748,952台東縣蘭嶼鄉197之1號,
海岸線 Lanyu Coastline,22.07830805,121.5252279,952台東縣蘭嶼鄉朗島村6鄰235之2號,
蘭嶼海的窩,22.03938483,121.5671146,台東縣蘭嶼鄉197之六號,
綠島飛魚潛水,22.65781375,121.4755906,951台東縣綠島鄉渔港路1-2號,
吉米探險家露營地&潛水俱樂部 Jimmy Explorer's Campsite & Diving Club,22.01316719,121.5674510,952台東縣蘭嶼鄉1之6號,
玩在蘭嶼—水上自行車/在地旅遊套裝行程,22.03902576,121.5662728,952台東縣蘭嶼鄉92之一,
