,店家名,緯度,經度,地址,
澎湖,野人日記~澎湖南方四島/七美/無人島探險/海露、Sup浮潛/自潛澎湖90群島探險潛旅、自由潛水、私人潛導,23.57384054,119.5054569,內垵村 881澎湖縣西嶼鄉,
,PIDC亞果國際潛水中心,23.5290444,119.5541421,880澎湖縣馬公市嵵裡360號,
,稻荷潛水中心InariDive,23.52625804,119.5679892,880澎湖縣馬公市160號,
,波賽頓海洋運動俱樂部 Poseidon Water Sports Club,23.52302629,119.5719762,880澎湖縣馬公市52號之7 1樓,
,陽光阿有,23.51819917,119.5928233,880澎湖縣馬公市號,
,海洋途徑潛水,23.52537828,119.5927095,880澎湖縣馬公市No170 Jimuwu,
,海獺潛水,23.52428081,119.5963257,880澎湖縣馬公市鎖港里1933號,
,波賽頓山水店（水肺潛水/浮潛）,23.52360952,119.5968405,880澎湖縣馬公市鎖港里1962號1樓,
,日日潛水,23.53445205,119.6023905,880澎湖縣馬公市68-2號,
,PADI澎湖興仁潛水訓練中心(有些活動有含住宿),23.5480137,119.6177301,88053澎湖縣馬公市烏崁里128號之25,
,喬米潛水 薰衣草海底郵筒浮潛 體驗潛水,23.56440842,119.6351461,885澎湖縣湖西鄉隘門村16-10號88593,
,澎湖潛水會,23.56555732,119.568845,880澎湖縣馬公市漁隆路7-1號,
,,,,,
小琉球,,,,,
,琉浪潛水背包客棧Drift Diving Hostel,22.32495307,120.3644877,929屏東縣琉球鄉忠孝路一巷2-6號,V
,天天潛水,22.32864706,120.3545638,929屏東縣琉球鄉環島公路,
,奧之海潛水旅宿 Odyssey Divers Hostel,22.32786016,120.3576314,929屏東縣琉球鄉中正路57號,V
,AIRTIME Diving 潛水工作室,22.32873843,120.357576,929屏東縣琉球鄉信義路11-1號貨櫃屋,
,洋Free diving-高雄自由潛水 / 小琉球 / 墾丁,22.32872168,120.3576129,929屏東縣琉球鄉信義路11-1號,
,日旺浮潛 Ri wang diving,22.33060238,120.3585324,929屏東縣琉球鄉,
,琉影潛水,22.33049756,120.3586706,929屏東縣琉球鄉中正路1巷90-2號,V
,琉浪潛水背包客棧Drift Diving Hostel,22.32495219,120.3644926,929屏東縣琉球鄉忠孝路一巷2-6號,V
,Shengdiving,22.32907576,120.3639312,92942屏東縣琉球鄉忠孝路108號,
,鬥陣潛水小琉球分部,22.32930899,120.3641583,929屏東縣琉球鄉忠孝路120之8號,
,SaltyMind Freediving 鹹腦袋自由潛水,22.33111529,120.3627512,929屏東縣琉球鄉中正路137號,
,小琉球悠遊潛水,22.33312559,120.3628047,929屏東縣琉球鄉中興路1之8號,
,Free4Ocean 自由潛水,22.33354386,120.3724048,92942屏東縣琉球鄉和平路1巷9號,
,VD自由潛水【小琉球教室】| VD Freediving Taiwan,22.33393083,120.3725755,屏東縣琉球鄉和平路1號2樓,
,co_diving 自由潛水工作室,22.33476833,120.3718092,929屏東縣琉球鄉和平路3巷1-5號,V
,酷落潛水 Kuroshio Diving,22.3352976,120.3714012,929屏東縣琉球鄉和平路13-3號,V
,小琉球-小綠龜潛水,22.33596029,120.3713078,929屏東縣琉球鄉和平路32-5號,V
,EXTD diving center 延伸潛水,22.33752494,120.3673792,929屏東縣琉球鄉中興路33-360號,V
,蜂潛水海洋俱樂部潛水中心,22.33765313,120.3672215,92942屏東縣琉球鄉中興路33-39號,
,快樂小魚潛水教學中心,22.33954055,120.3630489,929屏東縣琉球鄉復興路七號,
,哈尼潛水 Hot Diving,22.34064785,120.3662194,929屏東縣琉球鄉杉板路53巷16之1號,
,瘋潛雪 Fun Dive Ski,22.34070967,120.3655891,929屏東縣琉球鄉杉板路30-1號,
,heyheyDive,22.34130836,120.3652691,929屏東縣琉球鄉上福村杉板路30號之1,
,白牌自由潛水中心,22.34277216,120.363438,929屏東縣琉球鄉肚仔坪路15之2號,V
,小琉球369浮潛店,22.33977502,120.3693908,929屏東縣琉球鄉上杉路1巷80號92942,
,啾開心浮潛,22.34041758,120.3696432,929屏東縣琉球鄉上杉路1巷3號,
,Dive Buddy 自由潛水工作室&背包客棧,22.34054099,120.371368,929屏東縣琉球鄉中正路188之6號,V
,流星潛水中心,22.34138674,120.3691835,929屏東縣琉球鄉上杉路18之15號,
,小琉球潛吧潛水DIVE BAR,22.34196036,120.3687336,929屏東縣琉球鄉上杉路31巷2號,
,潛境自由潛水,22.34231959,120.3693887,929001屏東縣琉球鄉中華路2-2號,
,島氮潛水社 Playful Dive Club,22.34333912,120.369738,929屏東縣琉球鄉中華路21-11號,
,小琉球 小丑魚浮潛,22.3424077,120.3728204,929屏東縣琉球鄉中山路925號,
,DEEPSOUL,22.34189712,120.3845845,929屏東縣琉球鄉三民路1之56號,
,蹼客基地,22.34502459,120.3863856,929屏東縣琉球鄉三民路39-1號前方,V
,阿貴潛水中心,22.3461279,120.3883345,929屏東縣琉球鄉環島公路40-1號,V
,Freedive Nomad Taiwan,22.34782933,120.3823451,929屏東縣琉球鄉行政路20-12號,
,O2潛水俱樂部,22.3472335,120.3850874,929屏東縣琉球鄉三民路151之9號,V
,萊這哩浮潛,22.34797586,120.385173,929屏東縣琉球鄉本漁路81巷22之1號,
,琉潛貨櫃潛水旅宿 Liuqiu Dive,22.34799012,120.3852213,929屏東縣琉球鄉本漁路81巷20之2號,V
,小琉球潛水阿貴民宿 包棟住宿 / 潛水體驗 / 旅遊,22.34808492,120.3881465,929屏東縣琉球鄉三民路58號,
,海之家潛水店,22.34825205,120.3862701,929屏東縣琉球鄉本漁路48之6號,
,舶琉潛水浮潛/體驗潛水/海底漫步/SUP立槳/ 獨木舟/遊艇包船,22.35108855,120.3855772,929屏東縣琉球鄉觀光港路80之10號,
,大眾浮潛,22.35237684,120.3828201,929屏東縣琉球鄉三民路277號,V
,Om Space 平行時空 ,22.35188466,120.3833945,929屏東縣琉球鄉三民路243之4號,
,小琉球潛水-潛雪SnowDiving,22.3519139,120.3835342,929屏東縣琉球鄉三民路224之1號,
,小琉球-琉球夯浮潛,22.35263441,120.3836087,"1-13 民族路, 琉球鄉屏東縣929",
,布雷克潛水,22.34604581,120.3678375,929屏東縣琉球鄉復興路一巷14號,
,阿Ya潛棧 A Ya Diving Hostel,22.34670329,120.3689004,929屏東縣琉球鄉復興路99號,V
,波賽頓海洋運動俱樂部 - Poseidon Water Sports Club,22.34545433,120.3728493,929屏東縣琉球鄉中華路118-1號,
,老婆潛水工作室,22.34561647,120.3749307,929屏東縣琉球鄉相埔路18之3號,V
,小琉球陽光浮潛,22.34650388,120.376614,929屏東縣琉球鄉中山路43-20號,
,秘密客潛水旅宿,22.34662052,120.3738511,929屏東縣琉球鄉相埔路50號之3,V
,派大星潛水／浮潛,22.34685853,120.3734154,929屏東縣琉球鄉相埔路52 之 1 號,
,水啦潛水教練發展中心,22.34690773,120.3729049,929屏東縣琉球鄉相埔路92966號附近,
,流星打氣站,22.34686494,120.3715676,929屏東縣琉球鄉相埔路79號之9號,V
,小琉球潛水-水藍攝潛水 Water blue diving,22.34717553,120.371665,929屏東縣琉球鄉相埔路88號之8,
,熊潛水培訓中心,22.34702907,120.3712214,929屏東縣琉球鄉相埔路87號,V
,海世界浮潛,22.34516417,120.3661274,929屏東縣琉球鄉上杉路101之5號,
,布雷克潛水,22.3460427,120.3678436,929屏東縣琉球鄉復興路一巷14號,
,小琉球 愛潛水,22.35089909,120.3752176,929屏東縣琉球鄉復興路161之99號,
