店名,緯度,經度,地址,評論數,潛水相關
黑熊背包客棧,23.99540939,121.6057278,970花蓮縣花蓮市國民十二街32-1號,少,V
洄瀾窩青年旅舍 Hualien Wow Hostel,23.99165259,121.6030335,97055花蓮縣花蓮市國聯一路83號,多,V
LAZY HOUSE_廢在這背包客棧,23.99325986,121.5984247,970花蓮縣花蓮市富安路49號,中,V
花蓮青年旅館．北吉光輕旅,23.98857720,121.5992655,970花蓮縣花蓮市中山路601巷1弄19號,多,V
Cozy House 小羊 房花蓮背包客棧,23.98613762,121.5990068,970花蓮縣花蓮市延平街148巷5號,多,V
途中花蓮青年旅舍,23.99494440,121.5978308,970花蓮縣花蓮市富吉路48號,多,V
花蓮阿羅國際青年旅舍,23.99509654,121.5974422,970花蓮縣花蓮市富吉路58-3號,中,V
山羊青旅民宿 GOAT HOSTEL,23.99642226,121.5953298,970花蓮縣花蓮市富裕十六街60號,中,V
花蓮小旅行迷你公寓背包客棧,23.99102317,121.6026214,970花蓮縣花蓮市國聯一路103號,多,V
Travel Charger Hostel 旅充人文,23.98962801,121.5940523,970花蓮縣花蓮市富國路138號,中,V
崧居文旅-挑高閣樓住宿,23.98908960,121.6013836,970花蓮縣花蓮市國興二街142號,少,V
仲青行旅 花蓮館Light Hostel,23.99440891,121.6038106,970花蓮縣花蓮市國民十街11號,多,V
您好生活公寓民宿NinHao Hostel,23.99019291,121.60260,970花蓮縣花蓮市國興二街91號,少,V
鳥窩•花蓮青年旅舍•Hualien Bird's House Hostel•花蓮背包客棧,23.99057408,121.6025815,970花蓮縣花蓮市國民五街5號,中,V
World Inn 窩二樓小客棧,23.99056154,121.6020454,970花蓮縣花蓮市國聯一路125號,中,V
A Good Man's Hostel,23.98810244,121.6011623,970花蓮縣花蓮市國聯二路150號,中,V
街角二館-角舍背包客棧民宿,23.99168110,121.597722,970花蓮縣花蓮市中山路743號,中,V
KID花蓮背包客棧 • KID Hualien Hostel,23.99024887,121.6025302,97055花蓮縣花蓮市國興二街102號,多,V
Sleeping boot Hostel 背包客棧,23.98617701,121.60650,970花蓮縣花蓮市進豐街73號,多,V
僖豆背包客,23.98716697,121.6007906,970花蓮縣花蓮市商校街192號,少,V
花蓮 小森見晴 Shining Forest Hostel / 背包客棧 / 火車站住宿 / 民宿,23.98867274,121.6047637,970花蓮縣花蓮市國興五街102號,中,V
遐窩青年旅舍JustWalk Hostel,23.99309375,121.6050781,970花蓮縣花蓮市國聯五路160號,中,V
有窩客棧 - You Worth Inn,23.98868283,121.6028625,970花蓮縣花蓮市國興三街82號,多,V
喀嚓緩旅 - 123 Cheers Hostel,23.99375553,121.6080207,970花蓮縣花蓮市國民八街100號,中,V
站前海民宿,23.98864804,121.6044565,970花蓮縣花蓮市國興五街112號,少,V
Arch雅砌美學公寓,23.99510040,121.6051599,970花蓮縣花蓮市國盛一街233號,多,V
悅樂旅店‧花蓮 OLAH Poshtel Hualien,23.97183039,121.60230,970花蓮縣花蓮市中福路122號,多,V
荷雅居石梯坪民宿,23.47086427,121.501571,977花蓮縣豐濱鄉港口村大港口1-8號,多,V
太平洋渡假村,23.60136292,121.5275734,977花蓮縣豐濱鄉小港55號,多,V
M.house旅宿,23.97355474,121.6039763,970花蓮縣花蓮市和平路332-1號,多,V
博愛泊心境民宿,23.97652987,121.6071399,970花蓮縣花蓮市博愛街120號,少,V
View Hostel 慮園 客棧,23.97553706,121.6041943,970花蓮縣花蓮市中華路169號,中,V
船長不在家 背包客棧,23.99034634,121.6051343,970花蓮縣花蓮市國聯三路85號,中,V
The Travel Bug Hostel旅行蟲背包客棧,22.87321082,121.2274177,959台東縣東河鄉134 號,中,V
東河民宿 狂衝浪店 Donghe surf shop,22.96610390,121.3016891,959台東縣東河鄉東河村南東河60號,中,V
熱帶低氣壓 Low Pressure Restaurant & Guesthouse,22.96659953,121.3005426,95942台東縣東河鄉108號,多,V
台東都蘭 晃輕鬆客棧咖啡館 Tranquilo Hostel & Café,22.87335883,121.2277265,959台東縣東河鄉都蘭路102號,中,V
築頁衝浪背包客棧PageSurfingInn,22.96854665,121.3036428,959台東縣東河鄉287號,中,V
落花鉎背包民宿 (都蘭),22.87618463,121.226359,959台東縣東河鄉420-9號,中,V
都蘭朋友家,22.87470282,121.22977,台東縣東河鄉959號,中,V
美好東河咖啡民宿,22.96824154,121.30240,95942台東縣東河鄉東河村南東河139號,中,V
途中·都蘭 青年旅舍 青年旅館 / On My Way Dulan Hostel,22.87292631,121.2261846,959001台東縣東河鄉124號,少,V
