店家名,緯度,經度,地址,評價,評論量
綠葉文旅,24.14902795,120.6623326,403台中市西區公正路122號,4.5,768
StrayBirds草悟道漂鳥青年旅館,24.15079683,120.6606343,403台中市西區公益路201號8樓,4.7,1373
Calligraphy Greenway Hotel Taichung 草悟道文旅,24.15060103,120.6651404,403台中市西區英才路512號,4.1,2296
Star Hostel Taichung Parklane 誠星青年旅館,24.15126674,120.6637672,403台中市西區公益路68號15樓,4.6,648
漢彌敦大飯店,24.15005281,120.6585744,403台中市西區華美街303之1號,3.7,352
台中草悟道住宿綠宿行旅Green Hotel,24.14907382,120.6682304,403台中市西區民生北路126號,4.6,1776
頭等艙飯店 台中綠園道館,24.15471267,120.661836,403台中市西區美村路一段22號,4.4,2269
時空行旅,24.15549583,120.6594327,403台中市西區明義街71號,3.8,311
承億文旅 - 台中鳥日子,24.15400783,120.6574586,403台中市西區忠明南路98號,3.9,2448
金典綠園道商旅,24.15616151,120.6629089,403台中市西區健行路1049號,3.4,633
長榮桂冠酒店（台中）,24.15894165,120.6571582,407台中市西屯區臺灣大道二段666號,4.3,8844
永豐棧酒店,24.15870671,120.6554845,407台中市西屯區臺灣大道二段689號,4.1,4419
雀客藏居 台中大墩 CHECK inn SELECT Taichung Dadun,24.15811936,120.6547979,407台中市西屯區大墩二十街37號,4.2,1453
三好行旅SUN HAO HOTEL. TAICHUNG,24.15537836,120.6472018,408台中市南屯區文心路一段552號,4.2,1690
天閣酒店-台中,24.1486039,120.6496909,408台中市南屯區大墩路525號,4.2,1615
蘭夏會館,24.14856474,120.6455281,408台中市南屯區大墩十一街333號,3.8,878
mini west hotel 小西城旅店,24.14699835,120.6732085,403台中市西區五權路96號,4.1,568
楓華沐月台灣大道行館 Hotel Maple Taiwan Boulevard,24.14572115,120.6754372,404台中市北區臺灣大道一段635號,4.4,1343
高苑商務旅館 中正店,24.14619863,120.6754913,404台中市北區臺灣大道一段640號,3.8,364
米閣商旅,24.14707127,120.6755635,404台中市北區成功路437號,3.6,595
Unique Hotel-黃埔75旅店｜塔木德酒店集團,24.14917875,120.6747696,403台中市西區五權路203號,4.2,1505
快樂腳旅棧 Happy Inn & Hostel,24.14601752,120.6775483,185中華路一段中區台中市400,4.2,612
塔木德酒店公園館 Talmud Gongyuan Hotel｜塔木德酒店集團,24.14939112,120.6783761,404台中市北區柳川西路四段1號10F,3.5,504
薆悅酒店五權館,24.15044842,120.676917,40443台中市北區五權路228號,4.5,2558
嬉·行旅 Hotel Si,24.14849045,120.6687202,403台中市西區民權路225巷8號,4.3,1436
金沙時尚汽車旅館,24.15041879,120.6784849,404台中市北區太平路201號,3.2,730
旭日文旅,24.15132687,120.6781532,404台中市北區五權路276號,3.4,734
雲端商務旅館-台中館,24.14587025,120.6803667,400台中市中區公園路36號,4,1742
台中鳳凰酒店,24.14077928,120.676676,40041台中市中區民權路162號,4.2,1095
一期家旅 1LI7E HOTEL,24.14383388,120.6692945,403台中市西區五權路17號,4.6,199
愛麗絲國際大飯店,24.13713715,120.6674492,403台中市西區柳川西路二段77號,4.1,2704
台中大毅老爺行旅,24.14254156,120.665518,403台中市西區英才路601號,4.4,3277
YOURsHome 你的民宿,24.13694133,120.6621277,403台中市西區五權三街79巷16號,4.4,27
歐菲旅店 (Old Friend Hotel),24.14465627,120.6573212,40358台中市西區忠明南路333號,2.9,82
星漾商旅中清館,24.15413286,120.6770622,404台中市北區中清路一段63號,4.6,1356
美之旅商務飯店,24.14794574,120.6619131,403台中市西區美村路一段269號,3.8,312
嵩夏汽車旅館,24.1150775,120.6753658,412台中市大里區大明路480號,3.9,355
台中大里—水悅精品會館Shuiyue Motel,24.11341276,120.6748079,412台中市大里區永隆七街137號,4.1,687
風緻精品時尚汽車旅館,24.11306023,120.6764172,412台中市大里區永隆路428號,3.5,626
大里春天SPA旅館 (Spring Spa Motel),24.11227681,120.6761383,412台中市大里區永隆路451號,4,645
春天國際旅館,24.11974002,120.6523243,402台中市南區德祥街86號,3.5,321
來來商旅,24.14877197,120.6833375,404台中市北區三民路三段125號,4.5,1696
久窩旅店一中館,24.14876383,120.6839192,404台中市北區三民路三段92-3號9樓,4.5,139
塔木德酒店一中館 Talmud Hotel Yizhong｜塔木德酒店集團,24.14773929,120.6853454,404台中市北區太平路22號3樓,4.1,1171
一中漫走民宿旅店,24.14649322,120.6858917,404台中市北區雙十路一段89號,4.6,474
圖格旅 TG Hostel,24.14521945,120.67785,400台中市中區成功路339號,3.9,227
荷米旅居 Hommie Inn,24.144022,120.6764198,400台中市中區中山路322號320號,4.2,669
紅點文旅,24.14320468,120.6756171,400台中市中區民族路206號,4.3,1921
一中宿喜,24.14393817,120.6804271,400台中市中區三民路二段149巷8號之3,3.8,182
銀河別館,24.14361217,120.6812182,400台中市中區光復路151號11樓,3.7,100
創意時尚飯店 I-deal HOTEL,24.15216928,120.6804027,404台中市北區五權路334號,3.8,1585
仁美時尚飯店,24.15216928,120.6774681,404台中市北區中清路一段36號,3.8,388
金滿家大飯店,24.15386899,120.6804027,404台中市北區五義街167號,4.1,614
逗留Inn Hotel,24.15390994,120.6700326,403台中市西區西屯路一段175號,4.3,516
F HOTEL麗加園邸酒店/台中住宿/屋馬園邸店/草悟道,24.15067935,120.6663848,403台中市西區公益路111號,4.1,1316
全國大飯店 Hotel National,24.15350999,120.6637666,403台中市西區館前路57號,4.1,4167
 卡爾登飯店台中館 the Carlton Taichung,24.15433419,120.6582477,403台中市西區忠明南路61號,4.1,1650
福爾摩沙草悟道酒店,24.14656947,120.6633177,403台中市西區向上路一段95號,3.8,749
黑金文旅 Kgoldhotel,24.14070977,120.6787433,400台中市中區中山路175巷20號,4.5,715
麻雀巢行旅,24.14063144,120.6790867,400台中市中區中山路175巷15號,3.7,639
台中住宿旅館__明通行商旅__葫蘆好室,24.14022024,120.6794622,400台中市中區平等街24號,4.4,187
藍天飯店 Blue Sky Hotel,24.13980903,120.6805243,400台中市中區市府路38號,4.5,2450
台中富信大飯店,24.13914327,120.6798055,400台中市中區市府路14號,4.1,1334
巢旅宿 SU Taichung Hostel,24.13829434,120.6806335,"8f, No. 6號自由路二段中區台中市400",3.6,262
成旅晶贊飯店．台中民權 Park City Hotel Central Taichung,24.1375328,120.6805728,400001台中市中區民權路66號,4.1,2316
撲克商旅 A ACE HOTEL,24.13700664,120.6807094,403台中市西區民權路67號,4.3,974
背包41青年旅館-台中館,24.13836357,120.6819232,400台中市中區繼光街59號,3.9,860
悅樂旅店·台中 OLAH Poshtel Taichung,24.13837742,120.6824846,400台中市中區中山路55號,4.6,456
莿桐花文創微旅,24.13924972,120.6824239,400台中市中區台灣大道一段141巷11號,3.9,940
大墩街旅店,24.14051393,120.6816291,400台中市中區臺灣大道一段201號5F-8F,4.1,233
雀客旅館 台中中山 CHECK inn Taichung Zhongshan,24.140651,120.6812858,400台中市中區市府路66號,4.4,799
P&F HOTEL過來旅店,24.14062163,120.681082,40045台中市中區市府路101號,4.4,658
Mr.Mantter 曼特先生,24.14127759,120.6806743,400台中市中區臺灣大道一段271號,4,827
奇異果快捷旅店-成功店,24.14183836,120.6816348,400台中市中區成功路165號,3.8,1069
圖森小棧,24.14242893,120.6820095,400台中市中區市府路133巷14號,4.4,33
Unique Hotel-微笑73旅店｜塔木德酒店集團,24.14215963,120.682728,40045台中市中區光復路101號,4.2,1397
Taichung Good Ground Hotel,24.1421727,120.6831748,"No, No. 58光復路中區台中市400",3.4,45
植光花園酒店 - SOF Hotel,24.14193093,120.6834111,400台中市中區光復路52號,4.4,2550
和昕商旅,24.14214003,120.6840699,40045台中市中區自由路二段135號,3.7,448
