店家,緯度,經度,地址
作伙潛水訓練中心,25.07149002,121.2951032,33850桃園市蘆竹區五福六路53號
JBC潛水,25.00484159,121.3656497,330桃園市桃園區南華街207號
巡航艦潛水,24.9942515,121.297798,330桃園市桃園區宏昌六街76號
夢想家潛水,24.98180405,121.309471,334桃園市八德區忠勇三街87號
28度C潛水俱樂部,24.93698278,121.2565993,32093桃園市中壢區龍平三街6號
豆花潛水,24.90023558,121.2817165,335桃園市大溪區和路一段12號
元氣潛水,24.99197052,121.2909633,330桃園市桃園區中平路34之1號
湛藍(Into The Blue),25.04991345,121.2934328,338桃園市蘆竹區忠孝東路17-3號4樓
亞太訓練中心,24.94131613,121.2379503,320桃園市中壢區龍岡路三段572號
包捷潛水,24.97010843,121.9240208,261宜蘭縣頭城鎮濱海路六段70號
亞太遊艇-宜蘭龜山島,24.87156419,121.8379208,261宜蘭縣頭城鎮烏石巷遊艇碼頭
珊瑚海潛水,24.58647922,121.8789205,270宜蘭縣蘇澳鎮
良友潛水,25.15705511,121.7669359,202基隆市中正區中正路598號
國傑工程企業有限公司,25.13971217,121.7923281,202基隆市中正區北寧路362-1號
利峰國際潛水,25.14046974,121.7938945,202基隆市中正區北寧路275巷12號
朝海致境潛水中心,25.13997441,121.7970879,202301基隆市中正區北寧路396巷6號
揪潛水,25.14044061,121.7981179,202基隆市中正區北寧路424號
東北角潛水客棧,25.11929712,121.9237502,228新北市貢寮區龍洞街64號
88K潛水中心,25.11803428,121.9143847,"號, No. 60-3龍洞街貢寮區新北市228"
神豬海底漫遊潛水訓練中心,25.06723098,121.6631848,221新北市汐止區水源路一段155號1樓
鬥陣潛水,25.05658804,121.5845202,115台北市南港區玉成街40號
亞潮潛水中心,25.00098942,121.5656797,116台北市文山區興隆路一段235號
iDiving愛潛水,25.09927945,121.5339093,111台北市士林區前港街8號
四分之一潛水訓練中心,25.08515231,121.5061375,24149新北市三重區河邊北街108號
飛漩潛水,25.10837306,121.474786,247新北市蘆洲區中山二路137巷9號1樓
悠潛潛水,25.05891354,121.4684916,242新北市新莊區頭前路No. 60-3號
海玩子潛水訓練中心,25.03776326,121.4652985,220新北市板橋區光武街136巷8弄6號1樓
台灣潛水Taipei,25.032514,121.4922064,220新北市板橋區縣民大道三段187巷14號
藍星海洋潛水俱樂部,25.00422248,121.5028494,235新北市中和區南山路27號
52龍洞/52LDNAUI Diving Center,25.11529482,121.9155849,228新北市貢寮區龍洞街52號
Bai-Hi潛水休閒中心,25.07852937,121.9211979,228新北市貢寮區和美街71號
逐海俱樂部,25.08806695,121.5030189,241新北市三重區富華街81號1樓
88潛水俱樂部,24.99879676,121.5373512,23578新北市中和區景德街88號
891新莊潛水家,25.0399601,121.3634028,242新北市新莊區中正路891之29號2樓
台灣潛伴俱樂部,25.10294377,121.5255641,111台北市士林區中山北路五段735號1號樓號
台灣樂潛 潛水中心,25.07189738,121.5419232,104台北市中山區農安街125巷2號
太平洋潛水中心,25.05836032,121.595107,115台北市南港區南港路三段80巷65號
1988潛水家,25.05698917,121.562238,10586台北市松山區健康路408號1樓
海底玩家潛水訓練中心,25.02047434,121.5436792,234新北市永和區中山路一段193-1號
