地名,緯度,經度
基隆潮境公園,25.1446129,121.8041399
基隆平浪橋,25.13991815,121.8021934
鼻頭角公園,25.12566856,121.9151645
蝙蝠洞公園,25.12663764,121.8317214
龍洞灣,25.10399692,121.9232823
龍洞1號,25.1171114,121.9173877
龍洞1.5號,25.11594308,121.9154998
龍洞2號,25.11416872,121.9133884
龍洞3號,25.1121126,121.9169991
龍洞4號,25.11327742,121.9197311
蚊子坑,25.09306342,121.916026
潮境公園,25.1424881,121.804281
花園二號,25.14567179,121.8068228
秘密花園,25.14447062,121.805751
花牆,25.1469538,121.8083538
油庫口,25.14776226,121.7997671
鋼鐵礁,25.14398553,121.8082135
海建號沈船,25.14087859,121.8073076
鋼鐵屋,25.13992944,121.807711
水晶宮,25.13473915,121.8151204
峭壁沈船,25.13436344,121.8182059
象鼻岩放流點,25.13506585,121.8185848
玫瑰花園,25.13234603,121.8239979
中寮漁港,22.67565232,121.472588
黑毛礁,22.68014256,121.4798349
柴口,22.6766976,121.4829034
公館鼻,22.676215,121.493002
將軍岩,22.6766718,121.4957395
豆丁礁,22.67834348,121.4932005
一線天,22.68109827,121.4931103
大峽谷,22.68827349,121.4904579
樓門岩,22.68178773,121.5112288
三塊石,22.68405639,121.5134816
仙人疊石,22.65900957,121.5072721
柚子湖,22.66569457,121.5100249
仙掌森林,22.66776488,121.5115434
大白沙,22.63848472,121.4906913
獨立礁,22.63856394,121.4921719
教堂,22.63933631,121.4921719
鋼鐵礁,22.63917788,121.4912706
馬蹄橋,22.63974708,121.4915663
龜灣鼻,22.64527519,121.4711421
雞仔礁,22.64296427,121.48178
海底郵筒,22.65516528,121.4732143
破沉箱,22.65657072,121.4737977
大香菇,22.65527516,121.4718768
十字礁,22.65604358,121.4723239
小丑島,22.65666641,121.4738139
後花園,22.65455526,121.4722625
六米礁,22.65353086,121.4720975
斜坡花園,22.65390263,121.4719053
豆腐峽,24.5838643,121.8714373
粉鳥林,24.49723214,121.8422262
石梯坪,23.48280231,121.5074079
杉原灣,22.83076987,121.1861319
三仙台,23.12647385,121.4217311
機場外礁,22.01952055,121.5334349
八代灣沉船,22.01685864,121.5490159
蘭恩,22.02420856,121.5388245
漁人舊部落港灣,22.02558206,121.5426642
椰子油斷層,22.05086756,121.5098466
開元港藍洞,22.05633311,121.5066294
椰油浮潛區,22.0776057,121.5031239
玉女岩,22.08207818,121.517715
朗島秘境,22.08133686,121.5225239
母雞岩外礁,22.0830151,121.5587245
母雞岩浮潛區,22.08127067,121.5597656
雙獅岩,22.08643778,121.567441
雙獅天井,22.08585084,121.5683082
東清七號,22.07499159,121.5682765
情人洞,22.0616265,121.5741737
核廢料,22.00761347,121.5945829
龍門港小香菇,22.00391336,121.5801329
