地點,緯度,經度,地址,評論
墾丁,,,,
萬里桐潛水區,21.99572429,120.7065343,946屏東縣恆春鎮萬里路14-1號,270
山海,21.98582481,120.7114139,946屏東縣恆春鎮山海路6號,57
紅柴坑,21.97148602,120.7160298,屏東縣恆春鎮,146
合界,21.9560355,120.7135968,946屏東縣恆春鎮,7
頂白沙,21.95396385,120.7169318,946屏東縣恆春鎮,0
雷打石,21.93267692,120.7461671,946屏東縣恆春鎮,100
出水口,21.93358018,120.7454876,946屏東縣恆春鎮,4
後壁湖,21.93669213,120.7458737,946屏東縣恆春鎮,11
跳石,21.95951447,120.7710636,946屏東縣恆春鎮,0
香蕉灣,21.92746937,120.8288463,946屏東縣恆春鎮,41
砂島,21.91400435,120.8470337,946屏東縣恆春鎮砂島路221號,463
後壁湖餵魚區,21.94537119,120.7514746,946屏東縣恆春鎮大光里,20
,,,,
綠島,,,,
藍洞,22.66167322,121.5086298,951台東縣綠島鄉,86
公館鼻後礁,22.67940647,121.4915898,951台東縣綠島鄉,54
石朗,22.65595755,121.4744973,951台東縣綠島鄉,0
樓門岩,22.68425441,121.5075738,951台東縣綠島鄉,18
三塊石,22.63989432,121.4910448,951台東縣綠島鄉,3
大白沙潛水區,22.63965608,121.4976939,951台東縣綠島鄉,413
柚子湖,22.66580318,121.5102378,951台東縣綠島鄉,677
柴口浮潛區,22.67908576,121.475748,95142台東縣綠島鄉柴口61號,929
海底郵筒＆海洋之心,22.65591797,121.4714932,951台東縣綠島鄉漁港路,145
,,,,
小琉球,,,,
花瓶岩,22.35541851,120.38165,929屏東縣琉球鄉,10
中澳,22.35122843,120.3875026,929屏東縣琉球鄉三民路124號,128
電廠,22.33871866,120.3778391,929屏東縣琉球鄉仁愛路1之11號,13
厚石,22.32456304,120.3653352,929屏東縣琉球鄉,154
海子口,22.32539109,120.3591294,929屏東縣琉球鄉,0
多仔坪,22.35014315,120.3654971,929屏東縣琉球鄉,268
龍蝦洞,22.34506537,120.3884634,929屏東縣琉球鄉,3479
衫福,22.34224709,120.3629457,929屏東縣琉球鄉,314
,,,,
澎湖,,,,
浮潛秘境海底郵筒,23.51987455,119.6134939,880澎湖縣馬公市鎖港里,190
杭灣,23.51752557,119.6064594,880澎湖縣馬公市,28
月鯉灣,23.19689854,119.4301126,883澎湖縣七美鄉月鯉港東面濱海,643
南方四島,23.25650853,119.5125352,澎湖縣望安鄉882東坪村東嶼坪43號,214
薰衣草森林,23.56467323,119.6370767,885澎湖縣湖西鄉,0
東西吉廊道,23.28214982,119.7254389,882澎湖縣望安鄉,129
