,店家名,緯度,經度,地址,
澎湖,,,,,
,淼淼旅墅,23.53803301,119.5563405,880澎湖縣馬公市150號,
,大山營區旅宿,23.52608587,119.5609522,880澎湖縣馬公市300號,
,澎湖嵵裡。仙人掌海景民宿,23.52677344,119.5627841,88059澎湖縣馬公市時裡290號,
,澎湖香亭民宿,23.52673874,119.5694621,88059澎湖縣馬公市,
,日時行旅精緻民宿,23.52640544,119.5704074,880澎湖縣馬公市19-6號,
,那。故事水岸莊園民宿,23.51670392,119.5746608,880馬公市100號,
,澎湖嶼光。角落民宿Somewhere Guesthouse,23.51580542,119.5892248,880澎湖縣馬公市,
,微浮山水民宿,23.51572579,119.5895271,880澎湖縣馬公市珠江120之7號,
,平湖窩行旅 PH Hostel,23.56677551,119.5670643,880澎湖縣馬公市中興路22號,
,澎湖北吉光背包客民宿,23.5141477,119.5955935,880澎湖縣馬公市山水里17-26號,✔
,好美背包客 Nice Hostel,23.56491919,119.5665366,880澎湖縣馬公市啟明街6號,
,旅行者背包客棧,23.57934807,119.5759235,880澎湖縣馬公市五福路3巷32弄25號880,
,澎湖玩聚背包民宿,23.57023175,119.6124556,885澎湖縣湖西鄉,✔
,積木屋背包客棧,23.52749466,119.5859085,880澎湖縣馬公市五德里雞母塢97號,
,造夢先生背包客民宿,23.56415579,119.5649283,880澎湖縣馬公市惠安路8號,
,捌貳趣民宿,23.57573132,119.5698764,880澎湖縣馬公市自強街20巷4號,
,好天旅店民宿,23.56708985,119.5843684,880澎湖縣馬公市西文澳92-69號,
,澎湖維多麗亞民宿 青旅 Victoria,23.52895499,119.6025307,880澎湖縣馬公市鎖管港316號,
,提拉米宿海景民宿,23.58688965,119.5795889,880澎湖縣馬公市256之1號,
,杰源民宿,23.55700338,119.6307077,885澎湖縣湖西鄉168-1號,
,背包客民宿,23.5853195,119.5827483,"No. 277-2號, 西衛, 馬公市澎湖縣880",
,古道背包客棧,23.56435223,119.5645455,880澎湖縣馬公市71號,
,海樂民宿背包客,23.55377787,119.6161383,880澎湖縣馬公市316號,
,夢幻魚背包客民宿,23.53524929,119.603818,880澎湖縣馬公市173號,
,宿息幾迷背包客棧,23.5658138,119.6006514,880澎湖縣馬公101-2 號,
,風之島背包客,23.57224025,119.6141229,885澎湖縣湖西鄉號,
,巴巴小窩背包客民宿,23.5873798,119.6090182,8859388593澎湖縣湖西鄉許家村15之1號,
,輕舞飛揚背包客居旅民宿,23.58552384,119.5816631,880澎湖縣馬公市272-3 號,
,小貝殼背包客棧,23.57929498,119.6792598,885澎湖縣湖西鄉菓葉村菓葉46-2號,
,小地方背包客民宿 PLACE Backpackers,23.63142883,119.5979313,澎湖縣臺灣省1 137號之 講美村 Baisha,
,Go home Backpackers,23.56892342,119.6639878,885澎湖縣湖西鄉60 號,
,澎湖七號旅店民宿,23.52906014,119.6008198,880澎湖縣馬公市鎖港里387-3號,
,有間寓背包旅宿 Habitate HomeStay,23.59871971,119.6242686,885澎湖縣湖西鄉沙港1之5號,
,Champion Homestay 冠軍民宿,23.57883103,119.6177629,885澎湖縣湖西鄉260號,
,起點旅行民宿 D.C. Inn はじまりのゲストハウス,23.56832975,119.5675461,880澎湖縣馬公市文化路18之1號,
,夜之屋Night House,23.55789134,119.5934005,880澎湖縣馬公市11之39號,
,阿豹會館民宿,23.54711357,119.6136536,880澎湖縣馬公市131之10號,
,青·輕旅,23.55099427,119.6128803,880澎湖縣馬公市71-2號,
,就這兒 民宿 Here B&B,23.56660137,119.5658532,880澎湖縣馬公市永興街6號,
,蒙德里安山水民宿,23.51998999,119.595003,880澎湖縣馬公市珠江287號,
,澎湖船家寶民宿 SABAI BnB,23.57030963,119.6113229,885澎湖縣湖西鄉港底127號,
,起司餅乾民宿,23.58119368,119.6065346,880澎湖縣馬公市宅脚嶼160-3號,
,有間客棧,23.56754884,119.4802475,881澎湖縣西嶼鄉外垵村29-31號,
,西瀛旅社,23.56399829,119.5675312,880澎湖縣馬公市民福路9號,
,澎湖諾亞方舟民宿,23.57129192,119.6112358,"港底150號, 湖西鄉澎湖縣885",
,澎湖民宿-隘門168民宿,23.5571286,119.6308249,88593澎湖縣湖西鄉隘門村隘門168號,
,易宿家特色民宿,23.52611727,119.58786,880澎湖縣馬公市五德里141號,
,有間黑店驛站民宿,23.58793708,119.5826335,"No. 757號, 西衛, 馬公市澎湖縣880",
,來客佳民宿,23.56821281,119.6168323,885澎湖縣湖西鄉成功村142號之 1號,
,917民宿,23.58196129,119.6021568,88052澎湖縣馬公市安宅里宅腳嶼250號,
,見見灣海景民宿,23.58190087,119.5106402,881澎湖縣西嶼鄉146-6號,
,漁人的家,23.57475003,119.5019698,881澎湖縣西嶼鄉225-5號,
,澎湖香亭民宿,23.52674661,119.5694652,88059澎湖縣馬公市,
,澎湖臨海居度假會館,23.56326811,119.5670465,880澎湖縣馬公市臨海路10-6號,
,一二三石頭人民宿,"23.562254278904014,",119.5835715,880澎湖縣馬公市民富街42巷12號,
,大池星月灣民宿,23.6147756,119.5142744,881澎湖縣西嶼鄉大池村132號,
,澎湖熱帶魚民宿,23.56850405,119.5938551,"西文里 716號, 馬公市澎湖縣880",
,加利利海民宿,23.57865926,119.5814878,"880澎湖縣馬公市 西衛, 號",
,留星嶼民宿,23.65629208,119.5893984,"1 號, 29, 白沙鄉澎湖縣884",
,在水一方 Memory In Water B&B,23.58333808,119.5782318,"西衛, 馬公市澎湖縣880",
,歸宿 民宿 Destination Inn,23.52785887,119.5886338,澎湖縣馬公市88051-5號,
,海風情民宿,23.57958931,119.5816595,880澎湖縣馬公市西衛里西衛89-3號,
,姆居民宿,23.57768461,119.5725454,880澎湖縣馬公市三多路,
,海灣灣,23.57812452,119.5824729,880澎湖縣馬公市83-56號,
