店家名稱,緯度,經度,地址,潛水活動,評論
小房子背包客棧,23.47883484,120.4476914,600嘉義市西區中正路504號,,270
福泰桔子商旅文化店,23.48108487,120.449227,600嘉義市西區文化路169號,,"3,612"
KM Hostel 距離背包客棧,23.47724394,120.4478776,600嘉義市西區蘭井街273號,,205
仲青行旅嘉義館 LIGHT HOSTEL,23.4777616,120.444056,600嘉義市西區光彩街622號,,1483
客旅家,23.4787282,120.4481792,600嘉義市西區中正路445、447號,,275
日光輕旅 晃拾光,23.47853824,120.4431948,600嘉義市西區中正路655號,,278
23星球,23.48015617,120.4394032,600嘉義市西區中興路23號 3號樓之5,,195
Oinn Hotel & Hostel Chiayi－文化輕旅,23.48374894,120.4488338,600嘉義市東區文化路294號,,224
塔拉TARA民宿GUEST HOUSE,23.47888425,120.4547501,600嘉義市東區中正路185巷21號,,16
La Wa House,23.48281862,120.4511174,600嘉義市東區成仁街253號,,212
嘉義小青旅,23.48125383,120.443709,600007嘉義市西區林森西路460號,,212
H& 台南微醺文旅 / H& tainan weshare hotel,22.98965193,120.195731,700台南市中西區大德街28號,,369
U.I.J Hotel & Hostel - 友愛街旅館,22.99079582,120.1997732,700台南市中西區友愛街115巷5號,,3936
Oinn Hotel & Hostel Tainan－巷弄潮旅,23.00383687,120.1927721,700台南市中西區文和街29號,,931
【南惰 • House Nandoor】背包客棧,22.98769896,120.2109215,700台南市中西區大同路一段46巷20號,,391
臺南水倉依舊民宿,22.99305876,120.2005528,700台南市中西區永福路二段81巷18號,,46
我鹿背包輕旅x mydeer backpacker,22.9894155,120.1988149,700台南市中西區府前路一段371巷26號,,160
158.棧,22.99590681,120.2042143,700台南市中西區忠義路二段158巷5號,,165
驛家旅店-EasyInn Hotel & Hostel-青年旅館,23.00005861,120.1997417,700台南市中西區成功路343號9樓,,624
艸祭Book inn,22.98956499,120.2047617,70049台南市中西區南門路71號,,1025
Loft18 Hostel 陳倉客棧,22.9979953,120.197991,700台南市中西區海安路二段270巷18號5F,,82
De Provintia Straat B&B 普羅民遮民宿,22.99517717,120.2030096,700台南市中西區民權路二段146號,,225
藏風The WIND GUESTHOUSE,22.99314875,120.2068936,700台南市中西區民權路一段267號,,202
清淨背包客棧-民權新館,22.99435137,120.2067368,700台南市中西區民權路一段244號,,543
台南 東寧文旅 ,22.99503007,120.1970047,700台南市中西區民生路二段83號,,802
哈木家,22.99548407,120.204591,700台南中西區忠義路二段158巷20弄39號 ,,171
紡南FunNan Guesthouse,22.99817357,120.1969058,70053台南市中西區海安路二段259巷31號,,105
1881雅客居,22.99220594,120.1987852,700005台南市中西區西門路二段74巷3號,,60
漫半拍民宿,22.99804634,120.201533, 700台南市中西區新美街204號,,279
福憩背包客棧-和平館,22.99655736,120.1967034,700台南市中西區和平街91號,,634
福憩背包客棧-緣憩館,22.9922948,120.2014275,70048台南市中西區中正路70號,,601
365.合日旅所 365.Hostel,22.99810526,120.2000752,700台南市中西區西門路二段365巷5號,,325
Journey Hostel 掘旅,22.99447366,120.2147574,701台南市東區育樂街161 號,,776
老曼船長鐵道HOSTEL,22.99664553,120.212636,701台南市東區北門路二段2號,,551
仲青行旅台南館 LIGHT HOSTEL,22.99193257,120.1954203,700台南市中西區友愛街309巷20號,,1096
good garden hostel 谷園客棧,22.99435546,120.206744,700台南市中西區中山路79巷66號,,113
成功古巷民宿 (Red House & Old Lane ChengGong Inn),22.99907839,120.2059594,704台南市北區佑民街14號,,177
